origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Spittal an der Drau	Austria	46.791666666667	13.495833333333	15505	Porcia, Friuli-Venezia Giulia	45.966667	12.616667		Italy	114	EU
Sankt Georgen an der Gusen	Austria	48.271666666667	14.448333333333	3916	Empoli	43.716666666667	10.95	47904	Italy	574	EU
Sankt Lorenzen bei Knittelfeld	Austria	47.25	14.883333333333		Grado, Friuli-Venezia Giulia	45.683333	13.4		Italy	208	EU
St. Johann in Tirol	Austria	47.5225	12.425555555556	9226	Valeggio sul Mincio	45.35	10.733333333333		Italy	274	EU
Purkersdorf	Austria	48.209166666667	16.179166666667	9527	Göstling an der Ybbs	47.816666666667	14.933333333333	2085	Austria	102	EU
Pottendorf	Austria	47.906388888889	16.390833333333	6816	San Lorenzo Isontino	45.933333333333	13.533333333333		Italy	309	EU
Mautern an der Donau	Austria	48.133333333333	15.55	3588	Mautern in Steiermark	47.4	14.833333333333	1791	Austria	98	EU
Innsbruck	Austria	47.266666666667	11.383333333333	130894	Kraków	50.066666666667	19.95	761900	Poland	701	EU
Langenlois	Austria	48.466666666667	15.683333333333	7660	Kufstein	47.583333333333	12.166666666667	18727	Austria	279	EU
Linz	Austria	48.3	14.283333333333	198181	Gorizia	45.9352	13.6193		Italy	268	EU
Eisenstadt	Austria	47.845555555556	16.518888888889	14241	Lignano Sabbiadoro	45.655	13.093055555556		Italy	357	EU
Hard	Austria	47.489166666667	9.69	13205	Bagnoli di Sopra	45.183333333333	11.883333333333		Italy	307	EU
Mautern in Steiermark	Austria	47.4	14.833333333333	1791	Mautern an der Donau	48.133333333333	15.55	3588	Austria	98	EU
Judenburg	Austria	47.1725	14.660277777778	10195	Chojna	52.966666666667	14.416666666667		Poland	644	EU
Graz	Austria	47.066666666667	15.433333333333	282479	Trieste	45.636111111111	13.804166666667	204420	Italy	202	EU
Laakirchen	Austria	47.982777777778	13.824166666667	9807	Gemona del Friuli	46.283333333333	13.133333333333		Italy	197	EU
Steyr	Austria	48.05	14.416666666667	38344	San Benedetto del Tronto	42.943780555556	13.883330555556		Italy	569	EU
Mariazell	Austria	47.773055555556	15.316388888889	3910	Częstochowa	50.8	19.116666666667		Poland	435	EU
Moosburg	Austria	46.657777777778	14.173611111111	4529	Katerini	40.266666666667	22.5	55997	Greece	977	EU
Ebensee	Austria	47.808333333333	13.775	7738	Zawiercie	50.5	19.416666666667		Poland	508	EU
Judenburg	Austria	47.1725	14.660277777778	10195	Prienai	54.633333333333	23.941666666667		Lithuania	1053	EU
Natschbach-Loipersbach	Austria	47.7	16.1	1721	Cornuda	45.832222222222	12.008055555556		Italy	374	EU
Ebensee	Austria	47.808333333333	13.775	7738	Prato	43.880813888889	11.096561111111	191749	Italy	483	EU
Salzburg	Austria	47.8	13.033333333333	150887	Verona	45.438158333333	10.993741666667	252520	Italy	305	EU
Ybbs an der Donau	Austria	48.166666666667	15.066666666667	5676	Bobbio	44.7715	9.3864		Italy	576	EU
Glanegg	Austria	46.713611111111	14.206388888889	1923	Cassacco	46.166666666667	13.183333333333		Italy	99	EU
Klagenfurt	Austria	46.616666666667	14.3	99125	Gorizia	45.9352	13.6193		Italy	92	EU
Lassee	Austria	48.225555555556	16.823055555556	2712	Strzyżów	49.883333333333	21.783333333333		Poland	406	EU
Lienz	Austria	46.829722222222	12.769722222222	12044	Gorizia	45.9352	13.6193		Italy	119	EU
Bruck an der Mur	Austria	47.410555555556	15.268611111111	15892	Veroli	41.683333333333	13.416666666667		Italy	653	EU
Peuerbach	Austria	48.345555555556	13.774166666667	2221	Malo	45.666666666667	11.416666666667		Italy	347	EU
Velden am Wörther See	Austria	46.6125	14.041944444444	8952	Jesolo	45.53311	12.64475		Italy	161	EU
Göstling an der Ybbs	Austria	47.816666666667	14.933333333333	2085	Purkersdorf	48.209166666667	16.179166666667	9527	Austria	102	EU
Klagenfurt	Austria	46.616666666667	14.3	99125	Rzeszów	50.05	22	182548	Poland	685	EU
Pörtschach am Wörthersee	Austria	46.635555555556	14.1425	2715	Rivignano	45.883333333333	13.033333333333		Italy	119	EU
Mank	Austria	48.110833333333	15.341111111111	3176	Ruda Śląska	50.25	18.85		Poland	349	EU
Sankt Georgen am Längsee	Austria	46.78	14.431944444444	3687	Zoppola	45.966666666667	12.766666666667		Italy	157	EU
Stans	Austria	47.368888888889	11.718888888889	1975	San Pietro in Cariano	45.516666666667	10.883333333333	12930	Italy	216	EU
