origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Houffalize	Belgium	50.13202	5.78936		Türi	58.809444444444	25.429166666667	5257	Estonia	1584	EU
Dendermonde	Belgium	51.016666666667	4.1	45367	Târgu Neamț	47.2025	26.358611111111	18695	Romania	1668	EU
Turnhout	Belgium	51.316666666667	4.9333333333333		Vânători	46.624559	21.673324	1410	Romania	1325	EU
Bocholt	Belgium	51.1722	5.5794		Bocholt	51.833333333333	6.6166666666667	71443	Germany	103	EU
Liège	Belgium	50.65	5.5666666666667	196291	Aachen	50.774167	6.0825	245885	Germany	39	EU
Genk	Belgium	50.95	5.5		Troisdorf	50.816111111111	7.1555555555556		Germany	117	EU
Mechelen	Belgium	51.016666666667	4.4666666666667		Sibiu	45.8	24.15	147245	Romania	1558	EU
Houffalize	Belgium	50.13202	5.78936		Zvolen	48.583055555556	19.133055555556	43100	Slovakia	980	EU
Houffalize	Belgium	50.13202	5.78936		Škofja Loka	46.166666666667	14.3		Slovenia	769	EU
La Louvière	Belgium	50.477777777778	4.1880555555556		Bojnice	48.782222222222	18.586111111111		Slovakia	1052	EU
Nieuwpoort	Belgium	51.129444444444	2.7513888888889	11267	Rodgau	50.025625	8.8840972222222		Germany	450	EU
Ghent	Belgium	51.05	3.7166666666667	257029	Wiesbaden	50.082083333333	8.2413611111111	276218	Germany	337	EU
Bertrix	Belgium	49.854166666667	5.2533333333333		Rusca Montană	45.56741	22.458161	1506	Romania	1369	EU
Ghent	Belgium	51.05	3.7166666666667	257029	Tallinn	59.437222222222	24.745	413782	Estonia	1616	EU
Brussels	Belgium	50.8467	4.3547	1197732	Ljubljana	46.05	14.516666666667	287000	Slovenia	919	EU
Houffalize	Belgium	50.13202	5.78936		Tryavna	42.866666666667	25.491944444444	9831	Bulgaria	1703	EU
Ghent	Belgium	51.05	3.7166666666667	257029	Melle	52.203055555556	8.3361111111111	45844	Germany	344	EU
Sankt Vith	Belgium	50.283333333333	6.1333333333333	9530	Kerpen	50.871944444444	6.6961111111111		Germany	77	EU
Sint-Denijs-Westrem	Belgium	51.0194	3.6686		Melle	52.203055555556	8.3361111111111	45844	Germany	348	EU
Belœil	Belgium	50.533333333333	3.7166666666667		Rýmařov	49.931838496043	17.271821662136	8345	Czech Republic	965	EU
Woluwe-Saint-Pierre	Belgium	50.833333333333	4.4666666666667		Pecica	46.17	21.07	12762	Romania	1325	EU
Andenne	Belgium	50.483333333333	5.1		Bergheim	50.966666666667	6.65	60390	Germany	122	EU
Morlanwelz	Belgium	50.45	4.2333333333333		Blaj	46.175277777778	23.914444444444	20630	Romania	1526	EU
