origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Rijeka	Croatia	45.329722222222	14.432222222222	128624	Ljubljana	46.05	14.516666666667	287000		Slovenia	80	EU
Sinj	Croatia	43.7	16.633333333333		Trogir	43.516666666667	16.25	13260		Croatia	37	EU
Sisak	Croatia	45.487777777778	16.374166666667		Gabrovo	42.871111111111	25.315	58950		Bulgaria	769	EU
Varaždin	Croatia	46.3	16.333333333333		Trnava	48.366666666667	17.583333333333			Slovakia	248	EU
Osijek	Croatia	45.560277777778	18.670277777778	108048	Maribor	46.55	15.633333333333	112325		Slovenia	259	EU
Sinj	Croatia	43.7	16.633333333333		Vukovar	45.35	19.003333333333			Croatia	263	EU
Senj	Croatia	44.990277777778	14.901388888889		Vratimov	49.769937353857	18.310188493649	7242		Czech Republic	590	EU
Omiš	Croatia	43.445833333333	16.688333333333		Havířov	49.777777777778	18.422777777778	73274		Czech Republic	716	EU
Bjelovar	Croatia	45.9	16.833333333333	40276	Imotski	43.45	17.216666666667			Croatia	274	EU
Ploče	Croatia	43.083333333333	17.416666666667		Ljubljana	46.05	14.516666666667	287000		Slovenia	402	EU
Virovitica	Croatia	45.833333333333	17.383333333333		Vyškov	49.277487239217	16.998993221633	21120		Czech Republic	384	EU
Split	Croatia	43.51	16.45	178102	Velenje	46.366666666667	15.116666666667	25333		Slovenia	335	EU
Čabar	Croatia	45.6	14.633333333333		Pula	44.866666666667	13.833333333333	57053		Croatia	103	EU
Senj	Croatia	44.990277777778	14.901388888889		Vrbovec	45.883333333333	16.433333333333			Croatia	155	EU
Varaždinske Toplice	Croatia	46.208055555556	16.421388888889		Piešťany	48.583333333333	17.833333333333			Slovakia	285	EU
Pula	Croatia	44.866666666667	13.833333333333	57053	Brno	49.195277777778	16.608333333333	377973		Czech Republic	525	EU
Omiš	Croatia	43.445833333333	16.688333333333		Bol	43.261944444444	16.655			Croatia	21	EU
Varaždin	Croatia	46.3	16.333333333333		Ptuj	46.418611111111	15.871388888889			Slovenia	38	EU
Zagreb	Croatia	45.8	15.95	790017	Ljubljana	46.05	14.516666666667	287000		Slovenia	114	EU
Senj	Croatia	44.990277777778	14.901388888889		Senec	48.218888888889	17.399722222222			Slovakia	407	EU
Opatija	Croatia	45.334722222222	14.306944444444		Ilirska Bistrica	45.566666666667	14.233333333333			Slovenia	26	EU
Bol	Croatia	43.261944444444	16.655		Omiš	43.445833333333	16.688333333333			Croatia	21	EU
Dubrovnik	Croatia	42.640277777778	18.108333333333	42615	Vukovar	45.35	19.003333333333			Croatia	310	EU
Sinj	Croatia	43.7	16.633333333333		Barban	45.1	14.016666666667			Croatia	260	EU
Rab	Croatia	44.75	14.75		Kočevje Municipality	45.639722222222	14.861388888889			Slovenia	99	EU
Šibenik	Croatia	43.733888888889	15.895555555556	46332	Sinj	43.7	16.633333333333			Croatia	59	EU
Pakrac	Croatia	45.433333333333	17.183333333333		Bjelovar	45.9	16.833333333333	40276		Croatia	59	EU
Varaždin	Croatia	46.3	16.333333333333		Pula	44.866666666667	13.833333333333	57053		Croatia	251	EU
Bjelovar	Croatia	45.9	16.833333333333	40276	Novalja	44.55	14.883333333333	3663		Croatia	214	EU
Stari Grad, Croatia	Croatia	43.183333333333	16.583333333333		Letovice	49.547116840883	16.573608242859	6723		Czech Republic	708	EU
Pula	Croatia	44.866666666667	13.833333333333	57053	Varaždin	46.3	16.333333333333			Croatia	251	EU
Omiš	Croatia	43.445833333333	16.688333333333		Nepomuk	49.486259587175	13.582292906584	3716		Czech Republic	712	EU
Slavonski Brod	Croatia	45.155277777778	18.014444444444		Celje	46.235833333333	15.2675			Slovenia	245	EU
Sinj	Croatia	43.7	16.633333333333		Šibenik	43.733888888889	15.895555555556	46332		Croatia	59	EU
Rab	Croatia	44.75	14.75		Sežana	45.7	13.85			Slovenia	127	EU
Pula	Croatia	44.866666666667	13.833333333333	57053	Čabar	45.6	14.633333333333			Croatia	103	EU
Omiš	Croatia	43.445833333333	16.688333333333		Zagorje ob Savi	46.134166666667	14.994166666667			Slovenia	327	EU
Osijek	Croatia	45.560277777778	18.670277777778	108048	Ploiești	44.938611111111	26.0225	209945		Romania	579	EU
Karlovac	Croatia	45.493055555556	15.555833333333	55705	Sofia	42.7	23.333333333333	1286383		Bulgaria	694	EU
Zagreb	Croatia	45.8	15.95	790017	Cluj-Napoca	46.78	23.559444444444	324576		Romania	594	EU
Samobor	Croatia	45.801094444444	15.711047222222		Stari Grad, Croatia	43.183333333333	16.583333333333			Croatia	299	EU
Split	Croatia	43.51	16.45	178102	Ostrava	49.835555555556	18.2925	291634		Czech Republic	717	EU
Đakovo	Croatia	45.3	18.4		Sinj	43.7	16.633333333333			Croatia	226	EU
Imotski	Croatia	43.45	17.216666666667		Bjelovar	45.9	16.833333333333	40276		Croatia	274	EU
Vukovar	Croatia	45.35	19.003333333333		Dubrovnik	42.640277777778	18.108333333333	42615		Croatia	310	EU
Vis	Croatia	43.060277777778	16.183611111111		Piran	45.526111111111	13.570277777778	17491		Slovenia	344	EU
Split	Croatia	43.51	16.45	178102	Pernik	42.609722222222	23.030833333333	75191		Bulgaria	544	EU
Osijek	Croatia	45.560277777778	18.670277777778	108048	Nitra	48.314722222222	18.0875	78351		Slovakia	309	EU
Trogir	Croatia	43.516666666667	16.25	13260	Sinj	43.7	16.633333333333			Croatia	37	EU
Sinj	Croatia	43.7	16.633333333333		Đakovo	45.3	18.4			Croatia	226	EU
Vrbovec	Croatia	45.883333333333	16.433333333333		Senj	44.990277777778	14.901388888889			Croatia	155	EU
Stari Grad, Croatia	Croatia	43.183333333333	16.583333333333		Samobor	45.801094444444	15.711047222222			Croatia	299	EU
