origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Aglandjia	Cyprus	35.145919444444	33.390169444444		Kalamata	37.016666666667	22.1	69849	Greece	1035	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Niederanven	49.651388888889	6.2555555555556	5737	Luxembourg	2720	EU
Strovolos	Cyprus	35.15	33.333333333333		Veroia	40.520277777778	22.201944444444	43158	Greece	1144	EU
Episkopi, Limassol	Cyprus	34.670833333333	32.901944444444	3681	Argos	37.616666666667	22.716666666667	22209	Greece	971	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Piraeus	37.966666666667	23.633333333333	163910	Greece	956	EU
Ayios Ioannis, Limassol	Cyprus	34.895555555556	33.020555555556	339	Agios Ioannis, Agios Vasilios Rethimno	35.233333333333	24.400277777778	74	Greece	785	EU
Famagusta	Cyprus	35.116666666667	33.95	40920	Missolonghi	38.366666666667	21.416666666667	34416	Greece	1173	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Larissa	39.638493	22.413061	144651	Greece	1122	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Sesimbra Municipality	38.433333333333	-9.1		Portugal	3744	EU
Strovolos	Cyprus	35.15	33.333333333333		Teramo	42.658852777778	13.703911111111	54857	Italy	1886	EU
Lakatamia	Cyprus	35.116666666667	33.316666666667		Kalymnos	36.995916666667	26.994966666667		Greece	605	EU
Limassol	Cyprus	34.674796	33.044086	101000	Ioannina	39.666666666667	20.85	65574	Greece	1213	EU
Limassol	Cyprus	34.674796	33.044086	101000	Q12875763	36.16666667	28		Greece	486	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Preveza	38.95	20.75	19042	Greece	1178	EU
Lefkara	Cyprus	34.8667	33.3069		Rafina	38.016666666667	24		Greece	903	EU
Pano Polemidia	Cyprus	34.708154	32.993082	3470	Dikaios, Kos	36.88167	27.20028		Greece	575	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Altea	38.6	-0.048888888888889	21739	Spain	2958	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Galaxidi	38.625277777778	22.636388888889		Greece	1062	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Chojna	52.966666666667	14.416666666667		Poland	2483	EU
Ayios Dhometios	Cyprus	35.183333333333	33.333333333333		Korydallos	37.97694444	23.65027778		Greece	918	EU
Nicosia	Cyprus	35.166667	33.35	55014	Lisbon	38.716666666667	-9.1666666666667	545245	Portugal	3765	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Glyfada	37.88	23.753333333333		Greece	943	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Prienai	54.633333333333	23.941666666667		Lithuania	2302	EU
Limassol	Cyprus	34.674796	33.044086	101000	Zakynthos Municipality	37.792222222222	20.757777777778		Greece	1154	EU
Aglandjia	Cyprus	35.145919444444	33.390169444444		Teramo	42.658852777778	13.703911111111	54857	Italy	1891	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Leros	37.146667	26.841944		Greece	659	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Bellagio	45.9875	9.2619444444444		Italy	2343	EU
Lakatamia	Cyprus	35.116666666667	33.316666666667		Alexandroupoli	40.85	25.866666666667	57812	Greece	912	EU
Paphos	Cyprus	34.766666666667	32.45	47300	Chania	35.516666666667	24.016666666667	91066	Greece	771	EU
Limassol	Cyprus	34.674796	33.044086	101000	Thessaloniki	40.633333333333	22.95	385406	Greece	1107	EU
Kato Polemidia	Cyprus	34.699444444444	32.996944444444	22369	Skiros Municipality	38.8625	24.549722222222	2994	Greece	883	EU
Ayios Athanasios, Cyprus	Cyprus	34.708888888889	33.043888888889	14347	Perama	37.96666667	23.56666667		Greece	922	EU
Pano Polemidia	Cyprus	34.708154	32.993082	3470	Q12238236	36.6	28.2		Greece	481	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Szeged	46.25	20.166666666667	162593	Hungary	1693	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Venice	45.439722222222	12.331944444444	264579	Italy	2145	EU
Yeroskipou	Cyprus	34.766666666667	32.466666666667		Agia Paraskevi	38.00527778	23.82083333		Greece	853	EU
Kato Polemidia	Cyprus	34.699444444444	32.996944444444	22369	Nikaia-Agios Ioannis Rentis	37.96666667	23.63333333		Greece	913	EU
Limassol	Cyprus	34.674796	33.044086	101000	Zakynthos	37.783333333333	20.9		Greece	1142	EU
Nicosia	Cyprus	35.166667	33.35	55014	A verga	38	23.716666666667	664046	Greece	915	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Kőszeg	47.381666666667	16.551944444444	11702	Hungary	1947	EU
Nicosia	Cyprus	35.166667	33.35	55014	Vilnius	54.683333333333	25.283333333333	532762	Lithuania	2258	EU
Limassol	Cyprus	34.674796	33.044086	101000	Municipality of Thessaloniki	40.6211925	22.9460273	325182	Greece	1107	EU
Limassol	Cyprus	34.674796	33.044086	101000	Patras	38.25	21.733333333333	168034	Greece	1086	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Oxelösund	58.666666666667	17.116666666667	15085	Sweden	2888	EU
Larnaca	Cyprus	34.916666666667	33.633333333333	51468	Ilioupoli	37.93333333	23.75	78153	Greece	945	EU
Famagusta	Cyprus	35.116666666667	33.95	40920	Patras	38.25	21.733333333333	168034	Greece	1143	EU
Famagusta	Cyprus	35.116666666667	33.95	40920	A verga	38	23.716666666667	664046	Greece	968	EU
Paphos	Cyprus	34.766666666667	32.45	47300	Kalamaria	40.583333	22.95	91279	Greece	1056	EU
Paphos	Cyprus	34.766666666667	32.45	47300	Anzio	41.44722222	12.62833333	54164	Italy	1881	EU
Limassol	Cyprus	34.674796	33.044086	101000	Marseille	43.296666666667	5.3763888888889	855393	France	2561	EU
Lakatamia	Cyprus	35.116666666667	33.316666666667		Marousi	38.05	23.8		Greece	910	EU
Agros	Cyprus	34.916666666667	33.016666666667	806	Houffalize	50.13202	5.78936		Belgium	2774	EU
Morphou	Cyprus	35.2	32.983333333333		Saint-Cyr-sur-Loire	47.402777777778	0.67805555555556	16239	France	2991	EU
