origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Znojmo	Czech Republic	48.855540667876	16.048796054219	33823	Povo	46.06611111	11.15444444		Italy	481	EU
Sušice	Czech Republic	49.231161465796	13.520207848015	11127	Bundoran	54.4754	-8.2838		Ireland	1599	EU
Bystřice nad Pernštejnem	Czech Republic	49.522980589139	16.261501207469	8202	Mád	48.189811111111	21.270975	2217	Hungary	395	EU
Sušice	Czech Republic	49.231161465796	13.520207848015	11127	Houffalize	50.13202	5.78936		Belgium	565	EU
Hodonín	Czech Republic	48.848950584361	17.132439069118	24728	Cattolica	43.958444444444	12.738611111111	17084	Italy	639	EU
Ústí nad Orlicí	Czech Republic	49.973904297163	16.393670305445	14164	Massa Martana	42.783333333333	12.516666666667	3773	Italy	853	EU
Benešov	Czech Republic	49.781695568859	14.687020558215	16544	San Pietro in Casale	44.7	11.4		Italy	617	EU
Šumperk	Czech Republic	49.965299915762	16.9706654352	26305	Vaasa	63.1	21.616666666667	67619	Finland	1487	EU
Havlíčkův Brod	Czech Republic	49.607899638305	15.580727658514	23145	Brixen	46.716666666667	11.65	21535	Italy	434	EU
Nový Bor	Czech Republic	50.757681178047	14.555662165889	11826	Priverno	41.466666666667	13.183333333333		Italy	1038	EU
Krnov	Czech Republic	50.089666916291	17.703908920138	23762	Povegliano Veronese	45.35	10.883333333333		Italy	733	EU
Luhačovice	Czech Republic	49.0998226346	17.757479338017	5093	Hajdúszoboszló	47.45	21.383333333333	23882	Hungary	325	EU
Bruntál	Czech Republic	49.988449251745	17.464759014801	16583	Castellarano	44.513888888889	10.733888888889		Italy	792	EU
Šternberk	Czech Republic	49.73045283333	17.298931346408	13476	Kungsbacka	57.4875	12.076388888889	19057	Sweden	928	EU
Nový Jičín	Czech Republic	49.594368444158	18.010308756103	23550	Novellara	44.85	10.733333333333		Italy	761	EU
Prachatice	Czech Republic	49.013013368826	13.997533003713	10943	Castrocaro Terme e Terra del Sole	44.184166666667	11.943888888889		Italy	559	EU
Zlín	Czech Republic	49.233055555556	17.666944444444	75117	Sesto San Giovanni	45.533333333333	9.2333333333333	81668	Italy	756	EU
Brno	Czech Republic	49.195277777778	16.608333333333	377973	Odense	55.4	10.383333333333	173814	Denmark	809	EU
Prague	Czech Republic	50.088611111111	14.421388888889	1280508	Madrid	40.418888888889	-3.6919444444444	3165541	Spain	1772	EU
Nelahozeves	Czech Republic	50.261558136958	14.298891773244	1965	Zagarolo	41.833333333333	12.833333333333		Italy	944	EU
Uherské Hradiště	Czech Republic	49.069757549526	17.459691353499	25246	Priverno	41.466666666667	13.183333333333		Italy	909	EU
Sušice	Czech Republic	49.231161465796	13.520207848015	11127	Oxelösund	58.666666666667	17.116666666667	15085	Sweden	1075	EU
Pardubice	Czech Republic	50.016666666667	15.766666666667	90044	Skellefteå Municipality	64.75	20.95	72133	Sweden	1666	EU
Prague	Czech Republic	50.088611111111	14.421388888889	1280508	Copenhagen	55.676111111111	12.568888888889	591481	Denmark	634	EU
Prague	Czech Republic	50.088611111111	14.421388888889	1280508	Monza	45.584722222222	9.2736111111111	122728	Italy	631	EU
Žďár nad Sázavou	Czech Republic	49.562675487861	15.939278339801	21160	Flobecq	50.733333333333	3.7333333333333		Belgium	878	EU
Fulnek	Czech Republic	49.712371239231	17.903232874658	5740	Téglás	47.716666666667	21.683333333333	6406	Hungary	355	EU
Prague	Czech Republic	50.088611111111	14.421388888889	1280508	Teramo	42.658852777778	13.703911111111	54857	Italy	828	EU
České Budějovice	Czech Republic	48.974722222222	14.474722222222	93470	Västerås Municipality	59.616666666667	16.533333333333		Sweden	1191	EU
Police nad Metují	Czech Republic	50.536901799794	16.233596891027	4123	Saltara	43.753430555556	12.8976		Italy	795	EU
Starý Poddvorov	Czech Republic	48.87471014233	16.988174207578	973	Bucine	43.4775	11.615833333333		Italy	728	EU
Krnov	Czech Republic	50.089666916291	17.703908920138	23762	Povegliano Veronese	45.3473	10.88056		Italy	733	EU
