origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Sigtuna Municipality	Denmark	59.633333333333	17.883333333333	43723	Sønderborg	54.911388888889	9.7866666666667	27595		Denmark	715	EU
Hedemora Municipality	Denmark	60.283333333333	15.983333333333		Nysted	54.666666666667	11.75			Denmark	674	EU
Täby Municipality	Denmark	59.433333333333	18.066666666667	66999	Rødovre Municipality	55.681388888889	12.455	38002		Denmark	534	EU
Högsby Municipality	Denmark	57.166666666667	16.033333333333		Berga	42.1	1.8455555555556	16175		Spain	1954	EU
Kil Municipality	Denmark	59.5	13.316388888889		Svinninge Municipality	55.7208	11.4589			Denmark	434	EU
Landskrona Municipality	Denmark	55.866666666667	12.85		Glostrup Municipality	55.666666666667	12.4	22461		Denmark	36	EU
Trelleborg	Denmark	55.375	13.15	28290	Holbæk	55.7181	11.7103			Denmark	98	EU
Leksand Municipality	Denmark	60.733333333333	15		Hørsholm Municipality	55.883333333333	12.5	24965		Denmark	559	EU
Östhammar Municipality	Denmark	60.258888888889	18.373611111111	21382	Durbuy	50.3522	5.4564			Belgium	1367	EU
Södertälje Municipality	Denmark	59.1	17.516666666667	91683	Struer Municipality	56.483333333333	8.6166666666667	21474		Denmark	602	EU
Sölvesborg Municipality	Denmark	56.05	14.583333333333		Bornholm	55.125	14.916666666667			Denmark	105	EU
Huddinge Municipality	Denmark	59.233333333333	17.983333333333	103632	Lyngby-Taarbæk Municipality	55.783333333333	12.5	55097		Denmark	504	EU
Vadstena Municipality	Denmark	58.448333333333	14.889722222222	7363	Bogense	55.566666666667	10.088888888889			Denmark	432	EU
Mark Municipality	Denmark	57.516666666667	12.683333333333		Ontinyent	38.822222222222	-0.60722222222222	35534		Spain	2291	EU
Eslöv Municipality	Denmark	55.833333333333	13.3		Rudersdal Municipality	55.825	12.4917	55739		Denmark	50	EU
Borås Municipality	Denmark	57.716666666667	12.933333333333	108083	Vejle Municipality	55.705	9.5327777777778	111743		Denmark	305	EU
Höganäs Municipality	Denmark	56.2	12.566666666667	25610	Herlev Municipality	55.716666666667	12.416666666667	28423		Denmark	55	EU
Gotland Municipality	Denmark	57.615277777778	18.280555555556		Slagelse Municipality	55.402	11.353661111111	78140		Denmark	491	EU
Jönköping Municipality	Denmark	57.783333333333	14.2	131150	Svendborg	55.059722222222	10.61			Denmark	375	EU
Båstad Municipality	Denmark	56.416666666667	12.866666666667		Hundested	55.963611111111	11.8525			Denmark	80	EU
Oxelösund	Denmark	58.666666666667	17.116666666667	15085	Houffalize	50.13202	5.78936			Belgium	1196	EU
Norrköping Municipality	Denmark	58.591944444444	16.185555555556	134527	Odense	55.4	10.383333333333	173814		Denmark	499	EU
Bräcke Municipality	Denmark	62.75	15.416666666667		Cassà de la Selva	41.889166666667	2.8772222222222	10025		Spain	2461	EU
Örebro Municipality	Denmark	59.273888888889	15.213333333333		Kolding	55.49	9.47	58757		Denmark	543	EU
Trollhättan Municipality	Denmark	58.283333333333	12.283333333333	57255	Hjørring Municipality	57.466666666667	9.9833333333333	65411		Denmark	164	EU
Norrköping	Denmark	58.6	16.2	91034	Odense	55.4	10.383333333333	173814		Denmark	500	EU
Tanum Municipality	Denmark	58.716666666667	11.316666666667	12346	Årslev Municipality	55.2978	10.4589			Denmark	384	EU
Motala Municipality	Denmark	58.536388888889	15.0375	42477	Korsør	55.3283	11.1397			Denmark	428	EU
Mölndal Municipality	Denmark	57.654166666667	12.019166666667	63739	Albertslund Municipality	55.65	12.35	27880		Denmark	224	EU
Solna Municipality	Denmark	59.366666666667	18.016666666667	73378	Gladsaxe Municipality	55.733333333333	12.483333333333	67914		Denmark	521	EU
Ljusdal Municipality	Denmark	61.833333333333	16.083333333333		Glamsbjerg municipality	55.2778	10.1036			Denmark	806	EU
Skellefteå Municipality	Denmark	64.75	20.95	72133	Løgstør Municipality	56.966666666667	9.25			Denmark	1069	EU
Stockholm	Denmark	59.329444444444	18.068611111111	917297	Copenhagen	55.676111111111	12.568888888889	591481		Denmark	522	EU
Stenungsund	Denmark	58.083333333333	11.816666666667	9987	Frederiksværk	55.966666666667	12.033333333333			Denmark	236	EU
Solna Municipality	Denmark	59.366666666667	18.016666666667	73378	Pirkkala	61.466666666667	23.65	18913		Finland	387	EU
Kristianstad Municipality	Denmark	56.033333333333	14.15		Køge	55.45	12.183333333333			Denmark	139	EU
Vimmerby Municipality	Denmark	57.666666666667	15.85		Skærbæk Municipality	55.157	8.768			Denmark	517	EU
Karlskoga	Denmark	59.324166666667	14.506944444444	27084	Aalborg	57.05	9.9166666666667	112194		Denmark	369	EU
Gothenburg	Denmark	57.706944444444	11.966666666667	572799	Aarhus	56.15	10.216666666667	264716		Denmark	203	EU
Finspång Municipality	Denmark	58.709166666667	15.786944444444	21018	Yvoir	50.333333333333	4.8833333333333			Belgium	1164	EU
Kumla Municipality	Denmark	59.116666666667	15.133333333333		Frederikssund Municipality	55.836944444444	12.065277777778	44725		Denmark	408	EU
Umeå Municipality	Denmark	63.833333333333	20.25		Helsingør	56.033333333333	12.616666666667			Denmark	964	EU
Lekeberg Municipality	Denmark	59.166666666667	14.866666666667		Tårnby Municipality	55.633333333333	12.6	42860		Denmark	416	EU
Falköping Municipality	Denmark	58.166666666667	13.55		Hobro	56.633333333333	9.8			Denmark	282	EU
Oxelösund Municipality	Denmark	58.666666666667	17.116666666667	11483	Houffalize	50.13202	5.78936			Belgium	1196	EU
Åmål Municipality	Denmark	59.05	12.7		Grenaa Municipality	56.416666666667	10.883333333333			Denmark	312	EU
Ängelholm Municipality	Denmark	56.25	12.85		Høje-Taastrup Municipality	55.6477	12.27	49960		Denmark	76	EU
Trollhättan	Denmark	58.2834894	12.2858206	48573	Hjørring	57.46	9.9866666666667			Denmark	164	EU
Borås Municipality	Denmark	57.716666666667	12.933333333333	109054	Vejle Municipality	55.705	9.5327777777778	111743		Denmark	305	EU
Haparanda Municipality	Denmark	65.833333333333	24.133333333333		Ikast	56.1356	9.1547			Denmark	1340	EU
Nässjö Municipality	Denmark	57.65	14.683333333333	29635	Brønderslev Municipality	57.268333333333	9.9458333333333	36047		Denmark	286	EU
Lund Municipality	Denmark	55.7	13.2		Viborg	56.45	9.4			Denmark	250	EU
Ljusnarsberg Municipality	Denmark	59.866666666667	14.983333333333		Aars	56.803055555556	9.5127777777778			Denmark	467	EU
Halmstad Municipality	Denmark	56.666666666667	12.85		Gentofte Municipality	55.750472	12.552073	75350		Denmark	104	EU
Hudiksvall Municipality	Denmark	61.733333333333	17.116666666667		Maribo	54.774166666667	11.501666666667			Denmark	840	EU
Eskilstuna Municipality	Denmark	59.370555555556	16.512777777778	100453	Esbjerg	55.470833333333	8.4513888888889	71618		Denmark	648	EU
Varberg Municipality	Denmark	57.1	12.25		Haderslev	55.25	9.5	21994		Denmark	267	EU
Sollefteå Municipality	Denmark	63.166666666667	17.266666666667		Hammel Municipality	56.25	9.86666667			Denmark	873	EU
Örnsköldsvik Municipality	Denmark	63.283333333333	18.733333333333		Brande	55.9439	9.1236			Denmark	977	EU
Sollentuna Municipality	Denmark	59.45	17.916666666667	68872	Hvidovre Municipality	55.65	12.483333333333	52831		Denmark	532	EU
Skövde Municipality	Denmark	58.383333333333	13.85		Ringsted Municipality	55.445276	11.788908	34170		Denmark	350	EU
Helsingborg Municipality	Denmark	56.05	12.716666666667		Helsingør	56.033333333333	12.616666666667			Denmark	6	EU
Nyköping	Denmark	58.75	17.016666666667	29891	Nykøbing Falster	54.766666666667	11.883333333333			Denmark	542	EU
Mjölby Municipality	Denmark	58.325	15.130555555556	26384	Rudkøbing	54.933333333333	10.716666666667			Denmark	464	EU
