origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Tartu	Estonia	58.38	26.7225	93687	Hafnarfjörður	64.066666666667	-21.95		Iceland	2611	Non-EU
Võru	Estonia	57.848611111111	26.992777777778	12458	Smolyan	41.575277777778	24.712777777778	30507	Bulgaria	1817	EU
Paide	Estonia	58.883333333333	25.566666666667	8056	Saldus	56.666666666667	22.493611111111	11479	Latvia	306	EU
Haapsalu	Estonia	58.946944444444	23.536944444444	10160	Bethlehem	31.704444444444	35.206111111111	27000	Palestine	3153	Non-EU
Võru	Estonia	57.848611111111	26.992777777778	12458	Chambray-lès-Tours	47.3375	0.71388888888889	10881	France	2104	EU
Tartu	Estonia	58.38	26.7225	93687	Lüneburg	53.2525	10.414444444444	71668	Germany	1163	EU
Keila	Estonia	59.308055555556	24.426388888889	9758	Hoyerswerda	51.433055555556	14.25	33843	Germany	1084	EU
Pärnu	Estonia	58.384444444444	24.498888888889	39784	Narva	59.379166666667	28.200555555556	58375	Estonia	240	EU
Tallinn	Estonia	59.437222222222	24.745	413782	Schwerin	53.633333333333	11.416666666667	91583	Germany	1038	EU
Narva	Estonia	59.379166666667	28.200555555556	58375	Pärnu	58.384444444444	24.498888888889	39784	Estonia	240	EU
Haapsalu	Estonia	58.946944444444	23.536944444444	10160	Almere	52.375833333333	5.2255555555556	198315	Netherlands	1354	Non-EU
Keila	Estonia	59.308055555556	24.426388888889	9758	Chiatura	42.283333333333	43.283333333333		Georgia	2293	Non-EU
Võru	Estonia	57.848611111111	26.992777777778	12458	Kaniv	49.744722222222	31.455833333333		Ukraine	947	Non-EU
Tallinn	Estonia	59.437222222222	24.745	413782	Saint Petersburg	59.95	30.316666666667	5281579	Russia	318	Non-EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Meerssen	50.8858	5.7519	19046	Netherlands	1528	Non-EU
Elva	Estonia	58.2275	26.415833333333	5666	Zestaponi	42.105555555556	43.035833333333		Georgia	2135	Non-EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Sherborne	50.9491	-2.5183	9350	United Kingdom	1970	EU
Haapsalu	Estonia	58.946944444444	23.536944444444	10160	Uman	48.75	30.216666666667	86900	Ukraine	1214	Non-EU
Tallinn	Estonia	59.437222222222	24.745	413782	Groningen	53.216666666667	6.55	200952	Netherlands	1311	Non-EU
Pärnu	Estonia	58.384444444444	24.498888888889	39784	Sochi	43.585277777778	39.720277777778	401291	Russia	1950	Non-EU
Tallinn	Estonia	59.437222222222	24.745	413782	Kyiv	50.45	30.523611111111	2907684	Ukraine	1064	Non-EU
Maardu	Estonia	59.478055555556	25.016111111111	17141	Jēkabpils	56.4975	25.866388888889	24146	Latvia	335	EU
Tallinn	Estonia	59.437222222222	24.745	413782	Riga	56.9475	24.106944444444	698529	Latvia	279	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Agros	34.916666666667	33.016666666667	806	Cyprus	2715	EU
Keila	Estonia	59.308055555556	24.426388888889	9758	Barsbüttel	53.566666666667	10.166666666667		Germany	1081	EU
Tallinn	Estonia	59.437222222222	24.745	413782	Dartford	51.45	0.21666666666667		United Kingdom	1769	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Zvolen	48.583055555556	19.133055555556	43100	Slovakia	1209	EU
Tallinn	Estonia	59.437222222222	24.745	413782	Los Gatos	37.236111111111	-121.96166666667	38138	United States of America	8837	Non-EU
Võru	Estonia	57.848611111111	26.992777777778	12458	Bad Segeberg	53.935555555556	10.308888888889	17176	Germany	1124	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Škofja Loka	46.166666666667	14.3		Slovenia	1590	EU
Pärnu	Estonia	58.384444444444	24.498888888889	39784	Ocean City	38.39139	-75.06944	7102	United States of America	6958	Non-EU
Tallinn	Estonia	59.437222222222	24.745	413782	Kiel	54.325277777778	10.140555555556	246269	Germany	1050	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Marsaskala	35.8625	14.5675	12134	Malta	2672	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Sigulda	57.153888888889	24.854444444444	11821	Latvia	187	EU
Kohtla-Järve	Estonia	59.4	27.283333333333	35928	Norderstedt	53.706388888889	10.010277777778	76712	Germany	1228	EU
Narva	Estonia	59.379166666667	28.200555555556	58375	Donetsk	48.008888888889	37.804166666667	929063	Ukraine	1410	Non-EU
Paide	Estonia	58.883333333333	25.566666666667	8056	Havířov	49.777777777778	18.422777777778	73274	Czech Republic	1112	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Tryavna	42.866666666667	25.491944444444	9831	Bulgaria	1773	EU
Haapsalu	Estonia	58.946944444444	23.536944444444	10160	Borovichi	58.4	33.916666666667		Russia	602	Non-EU
Võru	Estonia	57.848611111111	26.992777777778	12458	Alūksne	57.423888888889	27.050277777778	7982	Latvia	47	EU
Haapsalu	Estonia	58.946944444444	23.536944444444	10160	Rendsburg	54.304444444444	9.6644444444444	27617	Germany	990	EU
Tallinn	Estonia	59.437222222222	24.745	413782	Annapolis	38.973055555556	-76.501111111111	38394	United States of America	6930	Non-EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Frogn	59.698888888889	10.655277777778	15695	Norway	844	Non-EU
Pärnu	Estonia	58.384444444444	24.498888888889	39784	Jelgava	56.652222222222	23.724444444444	61623	Latvia	198	EU
Tallinn	Estonia	59.437222222222	24.745	413782	Moscow	55.755833333333	37.617777777778	12380664	Russia	867	Non-EU
Maardu	Estonia	59.478055555556	25.016111111111	17141	Chornomorsk	46.301667	30.656944		Ukraine	1512	Non-EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Siret	47.95	26.06	7976	Romania	1208	EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Sušice	49.231161465796	13.520207848015	11127	Czech Republic	1315	EU
Pärnu	Estonia	58.384444444444	24.498888888889	39784	Portsmouth	43.07572	-70.76075	21233	United States of America	6324	Non-EU
Tartu	Estonia	58.38	26.7225	93687	Saint Petersburg	59.95	30.316666666667	5281579	Russia	269	Non-EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Granville	48.838055555556	-1.5869444444444	13104	France	2070	EU
Tartu	Estonia	58.38	26.7225	93687	Riga	56.9475	24.106944444444	698529	Latvia	223	EU
Pärnu	Estonia	58.384444444444	24.498888888889	39784	Gran	60.441111111111	10.495555555556	13695	Norway	823	Non-EU
Türi	Estonia	58.809444444444	25.429166666667	5257	Bad Kötzting	49.176944444444	12.855	6805	Germany	1345	EU
Keila	Estonia	59.308055555556	24.426388888889	9758	Sigulda	57.153888888889	24.854444444444	11821	Latvia	241	EU
Narva	Estonia	59.379166666667	28.200555555556	58375	Chornomorsk	46.301667	30.656944		Ukraine	1463	Non-EU
Tallinn	Estonia	59.437222222222	24.745	413782	Carcassonne	43.215833333333	2.3513888888889	46724	France	2359	EU
Viljandi	Estonia	58.363333333333	25.595555555556	17549	Valmiera	57.538055555556	25.423055555556	25093	Latvia	92	EU
Narva	Estonia	59.379166666667	28.200555555556	58375	Ivangorod	59.375	28.205277777778	10502	Russia	1	Non-EU
