origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Raisio	Finland	60.486111111111	22.169444444444	24290	Sigtuna	59.616666666667	17.716666666667	4214	Sweden	265	EU
Vaasa	Finland	63.1	21.616666666667	67619	Malmö Municipality	55.583333333333	13.033333333333		Sweden	965	EU
Korsnäs	Finland	62.783333333333	21.183333333333	2201	Borgholm Municipality	56.878055555556	16.661666666667	10656	Sweden	703	EU
Vammala	Finland	61.340277777778	22.909722222222		Skövde Municipality	58.383333333333	13.85		Sweden	602	EU
Rauma	Finland	61.116666666667	21.5	39809	Kaposvár	46.366666666667	17.783333333333	63742	Hungary	1657	EU
Kirkkonummi	Finland	60.116667	24.416667	38649	Munkedal Municipality	58.483333333333	11.683333333333		Sweden	744	EU
Kajaani	Finland	64.225	27.733333333333	37622	Östersund Municipality	63.183333333333	14.666666666667		Sweden	653	EU
Savonlinna	Finland	61.866666666667	28.883055555556	35523	Kalmar Municipality	56.666666666667	16.366666666667		Sweden	914	EU
Lapinlahti	Finland	63.366666666667	27.383333333333	9982	Ljusnarsberg Municipality	59.866666666667	14.983333333333		Sweden	760	EU
Kuusankoski	Finland	60.908333333333	26.623611111111		Orosháza	46.567777777778	20.642777777778	28356	Hungary	1641	EU
Oulu	Finland	65.016666666667	25.466666666667	198525	Boden Municipality	65.833333333333	21.716666666667		Sweden	196	EU
Naantali	Finland	60.468055555556	22.026388888889	18916	Vadstena Municipality	58.448333333333	14.889722222222	7363	Sweden	461	EU
Kaarina	Finland	60.406944444444	22.372222222222	32590	Szentes	46.651944444444	20.257222222222	27898	Hungary	1536	EU
Kerava	Finland	60.402777777778	25.1	35293	Solt	46.800833333333	19.004166666667	6361	Hungary	1563	EU
Lappeenranta	Finland	61.058333333333	28.186111111111	72875	Szombathely	47.233333333333	16.633333333333	77866	Hungary	1706	EU
Hyvinkää	Finland	60.630555555556	24.859722222222	46463	Motala Municipality	58.536388888889	15.0375	42477	Sweden	599	EU
Kotka	Finland	60.466666666667	26.945833333333	54319	Landskrona Municipality	55.866666666667	12.85		Sweden	969	EU
Kuusankoski	Finland	60.908333333333	26.623611111111		Lindesberg Municipality	59.583333333333	15.25		Sweden	644	EU
Valkeakoski	Finland	61.266666666667	24.030555555556	21332	Gotland Municipality	57.615277777778	18.280555555556		Sweden	520	EU
Ikaalinen	Finland	61.769444444444	23.068055555556	7207	Ljusdal Municipality	61.833333333333	16.083333333333		Sweden	367	EU
Eura	Finland	61.133333333333	22.083333333333	12128	Askersund Municipality	58.883333333333	14.9		Sweden	471	EU
Kemi	Finland	65.736111111111	24.563888888889	21758	Székesfehérvár	47.2	18.416666666667	98673	Hungary	2093	EU
Kuopio	Finland	62.8925	27.678333333333	112117	Győr	47.683333333333	17.633333333333	129372	Hungary	1802	EU
Mikkeli	Finland	61.6875	27.273611111111	54665	Borås Municipality	57.716666666667	12.933333333333	108083	Sweden	915	EU
Karis	Finland	60.070833333333	23.6625		Alingsås Municipality	57.933333333333	12.533333333333		Sweden	679	EU
Äänekoski	Finland	62.604166666667	25.726388888889	19919	Örnsköldsvik Municipality	63.283333333333	18.733333333333		Sweden	361	EU
Tuusula	Finland	60.402777777778	25.029166666667	38459	Sollentuna Municipality	59.45	17.916666666667	68872	Sweden	410	EU
Akaa	Finland	61.166666666667	23.868055555556	17043	Klippan	56.134444444444	13.128333333333	8116	Sweden	834	EU
Varkaus	Finland	62.316666666667	27.883333333333	21638	Zalaegerszeg	46.839166666667	16.851111111111	58959	Hungary	1856	EU
Kouvola	Finland	60.868055555556	26.704166666667	85855	Balatonfüred	46.95	17.883333333333	13224	Hungary	1648	EU
Akaa	Finland	61.166666666667	23.868055555556	17043	Hallsberg	59.066666666667	15.116666666667	8146	Sweden	538	EU
Karkkila	Finland	60.534722222222	24.209722222222	8969	Kőszeg	47.381666666667	16.551944444444	11702	Hungary	1543	EU
Mariehamn	Finland	60.098611111111	19.944444444444	11461	Gotland Municipality	57.615277777778	18.280555555556		Sweden	292	EU
Valkeakoski	Finland	61.266666666667	24.030555555556	21332	Hajdúszoboszló	47.45	21.383333333333	23882	Hungary	1545	EU
Halikko	Finland	60.397222222222	23.077777777778		Gárdony	47.197311111111	18.609061111111	10206	Hungary	1496	EU
Närpes	Finland	62.473611111111	21.3375	9387	Västervik Municipality	57.75	16.633333333333		Sweden	586	EU
Seinäjoki	Finland	62.790277777778	22.840277777778	61530	Sopron	47.684722222222	16.583055555556	61780	Hungary	1724	EU
Kokemäki	Finland	61.255555555556	22.348611111111	7591	Falköping Municipality	58.166666666667	13.55		Sweden	600	EU
Lappeenranta	Finland	61.058333333333	28.186111111111	72875	Örebro Municipality	59.273888888889	15.213333333333		Sweden	743	EU
Lempäälä	Finland	61.313888888889	23.752777777778	22536	Tapolca	46.882777777778	17.441111111111	15582	Hungary	1655	EU
Vantaa	Finland	60.3	25.033333333333	214605	Huddinge Municipality	59.233333333333	17.983333333333	103632	Sweden	412	EU
Tampere	Finland	61.498055555556	23.760833333333	225118	Miskolc	48.1044444	20.7897222	159554	Hungary	1501	EU
Kouvola	Finland	60.868055555556	26.704166666667	85855	Lidköping Municipality	58.5	13.183333333333		Sweden	801	EU
Kuopio	Finland	62.8925	27.678333333333	112117	Jönköping Municipality	57.783333333333	14.2	131150	Sweden	931	EU
Mikkeli	Finland	61.6875	27.273611111111	54665	Borås Municipality	57.716666666667	12.933333333333	109054	Sweden	915	EU
Oravais	Finland	63.3	22.377778		Ånge Municipality	62.516666666667	15.616666666667		Sweden	353	EU
Forssa	Finland	60.816666666667	23.616666666667	17422	Gödöllő	47.6	19.366666666667	32720	Hungary	1495	EU
Jakobstad	Finland	63.666666666667	22.7	19436	Eslöv Municipality	55.833333333333	13.3		Sweden	1015	EU
Paimio	Finland	60.456944444444	22.686111111111	10620	Ljungby Municipality	56.833333333333	13.933333333333	27361	Sweden	646	EU
Karkkila	Finland	60.534722222222	24.209722222222	8969	Altea	38.6	-0.048888888888889	21739	Spain	2965	EU
Pedersöre	Finland	63.6	22.791666666667	11129	Bräcke Municipality	62.75	15.416666666667		Sweden	382	EU
Espoo	Finland	60.21	24.66	269802	Esztergom	47.785555555556	18.740277777778	28102	Hungary	1433	EU
Kittilä	Finland	67.65	24.908333333333	6416	Gällivare Municipality	67.133333333333	20.65		Sweden	191	EU
Riihimäki	Finland	60.733333333333	24.766666666667	29269	Karlskoga Municipality	59.325	14.525		Sweden	589	EU
Lieto	Finland	60.5	22.449719444444	19263	Komárom	47.735833333333	18.156388888889	18957	Hungary	1446	EU
Lohja	Finland	60.25	24.066666666667	47353	Sátoraljaújhely	48.393888888889	21.656111111111	14956	Hungary	1327	EU
Laitila	Finland	60.879166666667	21.693055555556	8520	Härryda Municipality	57.666666666667	12.116666666667	36291	Sweden	650	EU
Nokia	Finland	61.477777777778	23.509722222222	33162	Sárospatak	48.318888888889	21.566111111111	12256	Hungary	1468	EU
Siilinjärvi	Finland	63.075	27.658333333333	21794	Sunne Municipality	59.833333333333	13.133333333333		Sweden	849	EU
Akaa	Finland	61.166666666667	23.868055555556	17043	Hallsberg	59.06666667	15.11666667	8146	Sweden	538	EU
Loviisa	Finland	60.456944444444	26.225	15311	Paks	46.621944444444	18.855833333333	19305	Hungary	1611	EU
Konnevesi	Finland	62.628333333333	26.283333333333	2757	Strömstad Municipality	58.933333333333	11.166666666667		Sweden	915	EU
Imatra	Finland	61.193055555556	28.776388888889	27835	Ludvika Municipality	60.133333333333	15.183333333333		Sweden	748	EU
Kokkola	Finland	63.833333333333	23.133333333333	47570	Ullånger	63.016666666667	18.183333333333	626	Sweden	262	EU
