origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Gordes	France	43.911111111111	5.2002777777778	1946	Bornem	51.0986	4.2358		Belgium	802	EU
Saulxures-sur-Moselotte	France	47.949444444444	6.7691666666667	2721	Hamoir	50.433333333333	5.5333333333333		Belgium	290	EU
Athis-Mons	France	48.708611111111	2.3891666666667	30094	Ballina	54.1167	-9.1667		Ireland	1000	EU
Couëron	France	47.214722222222	-1.7238888888889	20084	Wexford	52.3342	-6.4575		Ireland	663	EU
Alençon	France	48.429722222222	0.091944444444444	26350	Braine-l'Alleud	50.6806	4.3717		Belgium	397	EU
Châteaulin	France	48.196666666667	-4.09	5177	Clonakilty	51.62196	-8.886395		Ireland	513	EU
Crozon	France	48.245277777778	-4.4888888888889	7634	Sligo	54.2667	-8.4833		Ireland	725	EU
Charmes	France	48.371666666667	6.2925	4653	Bertrix	49.854166666667	5.2533333333333		Belgium	181	EU
Dole	France	47.092222222222	5.4897222222222	23312	Rouvroy	49.538333333333	5.4908333333333		Belgium	272	EU
Granville	France	48.838055555556	-1.5869444444444	13104	Houffalize	50.13202	5.78936		Belgium	552	EU
Saint-Lô	France	49.114444444444	-1.0916666666667	18874	Saint-Ghislain	50.45	3.8166666666667		Belgium	382	EU
Hazebrouck	France	50.724444444444	2.5383333333333	21737	Soignies	50.566666666667	4.0666666666667		Belgium	109	EU
Cosne-Cours-sur-Loire	France	47.410277777778	2.925	10629	Herentals	51.1761	4.8317		Belgium	441	EU
Pleumeur-Bodou	France	48.773055555556	-3.5177777777778	3983	Crosshaven	51.8	-8.3		Ireland	478	EU
Saint-Valery-sur-Somme	France	50.188333333333	1.6294444444444	2805	Ronse	50.75	3.6		Belgium	153	EU
Vaujours	France	48.933888888889	2.5719444444444	6828	Court-Saint-Étienne	50.633333333333	4.5666666666667		Belgium	237	EU
Pont-Sainte-Maxence	France	49.301111111111	2.6036111111111	12637	Auvelais	50.4469	4.635		Belgium	193	EU
Fort-Mahon-Plage	France	50.341388888889	1.5686111111111	1190	Wellin	50.081666666667	5.1133333333333		Belgium	254	EU
Hirson	France	49.921666666667	4.0838888888889	9346	Marcinelle	50.3992	4.4469		Belgium	59	EU
Ploemeur	France	47.735833333333	-3.4311111111111	18039	Fermoy	52.142022	-8.276138		Ireland	600	EU
Ploemeur	France	47.735833333333	-3.4311111111111	18039	Diksmuide	51.033333333333	2.8666666666667		Belgium	585	EU
Cesson-Sévigné	France	48.120833333333	-1.6036111111111	16784	Carrick-on-Shannon	53.9469	-8.09		Ireland	790	EU
Hayange	France	49.329722222222	6.0619444444444	15833	Arlon	49.683611111111	5.8166666666667		Belgium	43	EU
Saint-Dié-des-Vosges	France	48.284166666667	6.9491666666667	20471	Arlon	49.683611111111	5.8166666666667		Belgium	176	EU
Le Touquet-Paris-Plage	France	50.523333333333	1.5852777777778	4588	Rixensart	50.716666666667	4.5333333333333		Belgium	209	EU
Auray	France	47.667777777778	-2.9825	12946	Castlebar	53.8608	-9.2988		Ireland	819	EU
Montigny-le-Bretonneux	France	48.770555555556	2.0325	277	Wicklow	52.9779	-6.033		Ireland	733	EU
Mirande	France	43.514722222222	0.40416666666667	3572	Tubize	50.683333333333	4.2		Belgium	847	EU
Orange	France	44.1375	4.8088888888889	28948	Diest	50.9847	5.0514		Belgium	762	EU
Mâcon	France	46.306666666667	4.8319444444444	33350	Overijse	50.783333333333	4.5333333333333		Belgium	498	EU
Lorient	France	47.745833333333	-3.3663888888889	57961	Galway	53.2729	-9.0418	75529	Ireland	733	EU
Halluin	France	50.782777777778	3.1247222222222	20915	Zulte	50.914444444444	3.4425		Belgium	27	EU
Deauville	France	49.359166666667	0.074444444444444	3740	Kildare	53.156859	-6.909027		Ireland	643	EU
Bruyères	France	48.208333333333	6.7186111111111	3187	Vielsalm	50.286111111111	5.9180555555556		Belgium	238	EU
Rennes	France	48.114166666667	-1.6808333333333	211373	Cork	51.9	-8.4730555555556	119230	Ireland	642	EU
Couëron	France	47.214722222222	-1.7238888888889	20084	Fleurus	50.483333333333	4.5333333333333		Belgium	584	EU
Granville	France	48.838055555556	-1.5869444444444	13104	Bundoran	54.4754	-8.2838		Ireland	778	EU
Terrasson-Lavilledieu	France	45.13	1.3013888888889	6212	Theux	50.533333333333	5.8166666666667		Belgium	689	EU
Châteaudun	France	48.070833333333	1.3377777777778	13226	Arklow	52.7941	-6.1649		Ireland	746	EU
Issy-les-Moulineaux	France	48.823055555556	2.2691666666667	65662	Frameries	50.4	3.9		Belgium	211	EU
Saint-Mandé	France	48.841388888889	2.4177777777778	22398	Drogheda	53.713889	-6.350278		Ireland	815	EU
Saulieu	France	47.28	4.2286111111111	2490	Philippeville	50.1958	4.5431		Belgium	325	EU
Seurre	France	46.998611111111	5.1466666666667	2435	Beauraing	50.1089	4.9561		Belgium	346	EU
Saint-Pair-sur-Mer	France	48.815	-1.5686111111111	4018	Houffalize	50.13202	5.78936		Belgium	551	EU
Audincourt	France	47.482777777778	6.8397222222222	14552	Dison	50.616666666667	5.85		Belgium	356	EU
Senones	France	48.395277777778	6.9816666666667	2490	Marchin	50.466666666667	5.2333333333333		Belgium	263	EU
Avallon	France	47.49	3.9083333333333	7118	Pepinster	50.566666666667	5.8166666666667		Belgium	369	EU
Montbard	France	47.623055555556	4.3369444444444	5394	Couvin	50.0519	4.4961		Belgium	270	EU
Fréhel	France	48.628055555556	-2.3661111111111	1585	Buncrana	55.1364	-7.456		Ireland	803	EU
Bussières, Saône-et-Loire	France	46.339166666667	4.7011111111111	578	Martelange	49.832777777778	5.7394444444444		Belgium	396	EU
Parthenay	France	46.648611111111	-0.24694444444444	10204	Tipperary	52.474416	-8.161983		Ireland	862	EU
Ploërmel	France	47.931666666667	-2.3975	9525	Cobh	51.851	-8.2967	12347	Ireland	607	EU
Bletterans	France	46.746666666667	5.4544444444444	1424	Thuin	50.333333333333	4.2833333333333		Belgium	408	EU
Chartres-de-Bretagne	France	48.039444444444	-1.7038888888889	7395	Newcastle West	52.450988	-9.054623		Ireland	716	EU
Grandrieu	France	44.784444444444	3.6330555555556	759	Grandrieu	50.2006	4.1733		Belgium	604	EU
Eysines	France	44.884444444444	-0.65138888888889	21762	Clonmel	52.3539	-7.7116		Ireland	978	EU
Vincennes	France	48.847777777778	2.4391666666667	49695	Montigny-le-Tilleul	50.383333333333	4.3833333333333		Belgium	221	EU
La Creuse	France	47.675555555556	6.3472222222222	79	Aalter	51.083333333333	3.45		Belgium	433	EU
