origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Rotenburg an der Wümme	Germany	53.106944444444	9.3969444444444		Aalter	51.083333333333	3.45		Belgium	464	EU
Lüdenscheid	Germany	51.216666666667	7.6333333333333		Leuven	50.866666666667	4.7	98292	Belgium	209	EU
Bad Zwischenahn	Germany	53.183611111111	8.0097222222222	27965	Izegem	50.9172	3.215		Belgium	413	EU
Brilon	Germany	51.396388888889	8.5702777777778	26232	Heusden-Zolder	51.05	5.2833333333333		Belgium	232	EU
Melle	Germany	52.203055555556	8.3361111111111	45844	Sint-Denijs-Westrem	51.0194	3.6686		Belgium	348	EU
Andernach	Germany	50.439722222222	7.4016666666667	29441	Ekeren	51.2772	4.4178	22874	Belgium	227	EU
Rottach-Egern	Germany	47.689722222222	11.770555555556	5619	Diksmuide	51.033333333333	2.8666666666667		Belgium	744	EU
Idstein	Germany	50.220555555556	8.2691666666667	24108	Zwijndrecht	51.216666666667	4.3333333333333		Belgium	298	EU
Rodgau	Germany	50.025625	8.8840972222222		Nieuwpoort	51.129444444444	2.7513888888889	11267	Belgium	450	EU
Hammelburg	Germany	50.116666666667	9.9	11135	Turnhout	51.316666666667	4.9333333333333		Belgium	374	EU
Steinfurt	Germany	52.1475	7.3441666666667	33225	Liedekerke	50.866666666667	4.0833333333333		Belgium	267	EU
Bitburg	Germany	49.974722222222	6.5255555555556	14002	Arlon	49.683611111111	5.8166666666667		Belgium	60	EU
Waldkirch	Germany	48.093888888889	7.9608333333333	21260	Montignies-sur-Sambre	50.383333333333	4.4666666666667		Belgium	359	EU
Troisdorf	Germany	50.816111111111	7.1555555555556		Genk	50.95	5.5		Belgium	117	EU
Offenbach am Main	Germany	50.1	8.7666666666667	123734	Saint-Gilles	50.816666666667	4.35		Belgium	323	EU
Bad Neuenahr-Ahrweiler	Germany	50.544722222222	7.1133333333333	27468	Brasschaat	51.2906	4.4894		Belgium	202	EU
Limburg an der Lahn	Germany	50.383333333333	8.0666666666667	34255	Oudenburg	51.183333333333	3		Belgium	367	EU
Melle	Germany	52.203055555556	8.3361111111111	45844	Ghent	51.05	3.7166666666667	257029	Belgium	344	EU
Ennepetal	Germany	51.283333333333	7.3333333333333		Vilvoorde	50.928138888889	4.4244888888889		Belgium	207	EU
Marsberg	Germany	51.45	8.8333333333333		Oudenburg	51.183333333333	3		Belgium	406	EU
Kleve	Germany	51.7875	6.1352777777778	48802	Ronse	50.75	3.6		Belgium	211	EU
Bad Kötzting	Germany	49.176944444444	12.855	6805	Houffalize	50.13202	5.78936		Belgium	519	EU
Bocholt	Germany	51.833333333333	6.6166666666667	71443	Bocholt	51.1722	5.5794		Belgium	103	EU
Rostock	Germany	54.083333333333	12.133333333333	206011	Antwerp	51.216666666667	4.4	510610	Belgium	611	EU
Osterhofen	Germany	48.7	13.016666666667	11387	Ballybay	54.2	-6.833333		Ireland	1499	EU
Büchenbeuren	Germany	49.921388888889	7.2797222222222		Schore	51.1106	2.8392		Belgium	341	EU
Wenigumstadt	Germany	49.8934	9.04151		Hamoir	50.433333333333	5.5333333333333		Belgium	257	EU
Cologne	Germany	50.942222222222	6.9577777777778	1081701	Cork	51.9	-8.4730555555556	119230	Ireland	1073	EU
Winterberg	Germany	51.195	8.53	12720	Rixensart	50.716666666667	4.5333333333333		Belgium	285	EU
Finnentrop	Germany	51.166666666667	7.9666666666667	17258	Diksmuide	51.033333333333	2.8666666666667		Belgium	356	EU
Alpen	Germany	51.575	6.5125	12622	Herentals	51.1761	4.8317		Belgium	125	EU
Cloppenburg	Germany	52.847777777778	8.0438888888889	33221	Limerick	52.6653	-8.6238		Ireland	1119	EU
Lorsch	Germany	49.653888888889	8.5675	13400	Zwevegem	50.8	3.3333333333333		Belgium	393	EU
Berlin	Germany	52.516666666667	13.383333333333	3469849	Brussels	50.846666666667	4.3525	1175000	Belgium	649	EU
Rauschenberg	Germany	50.866666666667	8.9166666666667		Middelkerke	51.1847	2.8192		Belgium	428	EU
Ettenheim	Germany	48.255555555556	7.8119444444444	12615	Avelgem	50.7753	3.4442		Belgium	422	EU
Aachen	Germany	50.774167	6.0825	245885	Liège	50.65	5.5666666666667	196291	Belgium	39	EU
Ludwigshafen	Germany	49.481111111111	8.4352777777778	163832	Antwerp	51.216666666667	4.4	510610	Belgium	345	EU
Cham	Germany	49.216666666667	12.65	16892	Zele	51.066666666667	4.0333333333333		Belgium	647	EU
Groß-Gerau	Germany	49.921388888889	8.4818055555556		Tielt	50.9989	3.3258		Belgium	384	EU
Freiamt	Germany	48.168611111111	7.9127777777778	4116	De Pinte	50.9919	3.6478		Belgium	439	EU
Bornheim	Germany	50.759166666667	7.005	46623	Bornem	51.0986	4.2358		Belgium	198	EU
Braunfels	Germany	50.5175	8.3888888888889	11510	Eeklo	51.1858	3.5639		Belgium	347	EU
Geldern	Germany	51.519722222222	6.3325		Bree	51.133333333333	5.5833333333333		Belgium	67	EU
Korntal-Münchingen	Germany	48.830555555556	9.1213888888889	18701	Tubize	50.683333333333	4.2		Belgium	409	EU
Bad Nauheim	Germany	50.366666666667	8.75	30291	Oostkamp	51.1544	3.2353		Belgium	398	EU
Steinenbronn	Germany	48.664722222222	9.1225	6190	Le Rœulx	50.5	4.1		Belgium	415	EU
