origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Tapolca	Hungary	46.882777777778	17.441111111111	15582	Lempäälä	61.313888888889	23.752777777778	22536		Finland	1655	EU
Villány	Hungary	45.869444444444	18.455555555556	2539	Zamárdi	46.884338888889	17.950511111111	2424		Hungary	119	EU
Gödöllő	Hungary	47.6	19.366666666667	32720	Forssa	60.816666666667	23.616666666667	17422		Finland	1495	EU
Esztergom	Hungary	47.785555555556	18.740277777778	28102	Espoo	60.21	24.66	269802		Finland	1433	EU
Gyöngyöspata	Hungary	47.81388889	19.78944444	2476	Patapoklosi	46.07356	17.75326	359		Hungary	248	EU
Tapolca	Hungary	46.882777777778	17.441111111111	15582	Sümeg	46.9775	17.281666666667	6189		Hungary	16	EU
Szentes	Hungary	46.651944444444	20.257222222222	27898	Kaarina	60.406944444444	22.372222222222	32590		Finland	1536	EU
Törökbálint	Hungary	47.435555555556	18.915555555556	13207	Colleferro	41.72868	13.00314			Italy	788	EU
Salgótarján	Hungary	48.085277777778	19.786666666667	35811	Vantaa	60.3	25.033333333333	214605		Finland	1399	EU
Törökbálint	Hungary	47.435555555556	18.915555555556	13207	Colleferro	41.733333333333	13.016666666667			Italy	788	EU
Törökbálint	Hungary	47.435555555556	18.915555555556	13207	Budapest District XXIII	47.396389	19.131111	22833		Hungary	17	EU
Harkány	Hungary	45.8475	18.236666666667	4219	Hajdúböszörmény	47.666666666667	21.516666666667	31224		Hungary	321	EU
Solt	Hungary	46.800833333333	19.004166666667	6361	Kerava	60.402777777778	25.1	35293		Finland	1563	EU
Kőszeg	Hungary	47.381666666667	16.551944444444	11702	Oxelösund	58.666666666667	17.116666666667	15085		Sweden	1255	EU
Paks	Hungary	46.621944444444	18.855833333333	19305	Loviisa	60.456944444444	26.225	15311		Finland	1611	EU
Cegléd	Hungary	47.177222222222	19.798055555556	35885	Vasvár	47.050833333333	16.798333333333	4266		Hungary	227	EU
Taktaharkány	Hungary	48.090961111111	21.128019444444	3594	Attert	49.75	5.786667			Belgium	1134	EU
