origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Tuam	Ireland	53.5167	-8.85		Straubing	48.883333333333	12.566666666667	45502	Germany	1571	EU
Kinsale	Ireland	51.7075	-8.5305556	4893	Mumbles	51.5735	-4.00022		United Kingdom	313	EU
Clonakilty	Ireland	51.62196	-8.886395		Waldaschaff	49.966666666667	9.3	3692	Germany	1288	EU
Athlone	Ireland	53.4333	-7.95		Châteaubriant	47.716944444444	-1.3761111111111	11866	France	786	EU
Dublin	Ireland	53.3425	-6.2658333333333	527612	Châteaudun	48.070833333333	1.3377777777778	13226	France	793	EU
Bundoran	Ireland	54.4754	-8.2838		Siret	47.95	26.06	7976	Romania	2472	EU
Bundoran	Ireland	54.4754	-8.2838		Sušice	49.231161465796	13.520207848015	11127	Czech Republic	1599	EU
Kinsale	Ireland	51.7075	-8.5305556	4893	Juan-les-Pins	43.571111111111	7.1094444444444		France	1475	EU
Bundoran	Ireland	54.4754	-8.2838		Granville	48.838055555556	-1.5869444444444	13104	France	778	EU
Cork	Ireland	51.9	-8.4730555555556	119230	Swansea	51.616666666667	-3.95		United Kingdom	313	EU
Cork	Ireland	51.9	-8.4730555555556	119230	Cologne	50.942222222222	6.9577777777778	1081701	Germany	1073	EU
Bray	Ireland	53.2028	-6.1083		Bègles	44.807777777778	-0.54888888888889	26104	France	1017	EU
Castlebar	Ireland	53.8608	-9.2988		Höchstadt an der Aisch	49.705555555556	10.805833333333	11034	Germany	1452	EU
Bundoran	Ireland	54.4754	-8.2838		Bad Kötzting	49.176944444444	12.855	6805	Germany	1560	EU
Clonmel	Ireland	52.3539	-7.7116		Reading	51.454166666667	-0.97305555555556		United Kingdom	473	EU
Bray	Ireland	53.2028	-6.1083		Würzburg	49.794444444444	9.9294444444444	127200	Germany	1170	EU
Arklow	Ireland	52.7941	-6.1649		Châteaudun	48.070833333333	1.3377777777778	13226	France	746	EU
Cobh	Ireland	51.851	-8.2967	12347	Ploërmel	47.931666666667	-2.3975	9525	France	607	EU
Newcastle West	Ireland	52.450988	-9.054623		Chartres-de-Bretagne	48.039444444444	-1.7038888888889	7395	France	716	EU
Killorglin	Ireland	52.106505	-9.785042		Plouha	48.675555555556	-2.9294444444444	4505	France	617	EU
Waterford	Ireland	52.2583	-7.119	46732	Saint-Herblain	47.211388888889	-1.6511111111111	43784	France	685	EU
Headford	Ireland	53.469115	-9.106849		Le Faouët	48.033055555556	-3.4913888888889	2822	France	722	EU
Castlebar	Ireland	53.8608	-9.2988		Auray	47.667777777778	-2.9825	12946	France	819	EU
Rathcoole	Ireland	53.282777777778	-6.4727777777778		École-Valentin	47.272222222222	5.9847222222222	2336	France	1107	EU
Killarney	Ireland	52.0588	-9.5072		Pleinfeld	49.1	10.966666666667	7443	Germany	1477	EU
Rush	Ireland	53.521788	-6.089087		Gourin	48.139444444444	-3.6075	4079	France	623	EU
Wicklow	Ireland	52.9779	-6.033		Montigny-le-Bretonneux	48.770555555556	2.0325	277	France	733	EU
Kinsale	Ireland	51.7075	-8.5305556	4893	Antibes	43.58	7.1230555555556	75456	France	1475	EU
