origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Valka	Latvia	57.775277777778	26.021388888889	5489	Weißenburg in Bayern	49.030555555556	10.971944444444	17976	Germany	1387	EU
Alūksne	Latvia	57.423888888889	27.050277777778	7982	Võru	57.848611111111	26.992777777778	12458	Estonia	47	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Granville	48.838055555556	-1.5869444444444	13104	France	1979	EU
Riga	Latvia	56.9475	24.106944444444	698529	Rostock	54.083333333333	12.133333333333	206011	Germany	817	EU
Riga	Latvia	56.9475	24.106944444444	698529	Tartu	58.38	26.7225	93687	Estonia	223	EU
Saldus	Latvia	56.666666666667	22.493611111111	11479	Paide	58.883333333333	25.566666666667	8056	Estonia	306	EU
Riga	Latvia	56.9475	24.106944444444	698529	Dunkirk	51.037777777778	2.3763888888889	89160	France	1556	EU
Ogre	Latvia	56.816944444444	24.604722222222	25380	Jõhvi	59.3575	27.412222222222	10669	Estonia	327	EU
Salaspils	Latvia	56.861388888889	24.35	17621	Finsterwalde	51.633055555556	13.716666666667	16548	Germany	901	EU
Jelgava	Latvia	56.652222222222	23.724444444444	61623	Pärnu	58.384444444444	24.498888888889	39784	Estonia	198	EU
Valmiera	Latvia	57.538055555556	25.423055555556	25093	Marly	50.348888888889	3.5441666666667	11335	France	1629	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Marsaskala	35.8625	14.5675	12134	Malta	2488	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Keila	59.308055555556	24.426388888889	9758	Estonia	241	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Bad Kötzting	49.176944444444	12.855	6805	Germany	1191	EU
Riga	Latvia	56.9475	24.106944444444	698529	Calais	50.9475	1.8555555555556	72589	France	1592	EU
Valmiera	Latvia	57.538055555556	25.423055555556	25093	Halle	52.060833333333	8.3597222222222		Germany	1247	EU
Saldus	Latvia	56.666666666667	22.493611111111	11479	Liederbach am Taunus	50.120833333333	8.4911111111111	8914	Germany	1176	EU
Strenči	Latvia	57.627222222222	25.685	1228	Rosice	49.1823520088	16.387885945617	6053	Czech Republic	1121	EU
Riga	Latvia	56.9475	24.106944444444	698529	Tallinn	59.437222222222	24.745	413782	Estonia	279	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Sušice	49.231161465796	13.520207848015	11127	Czech Republic	1157	EU
Jēkabpils	Latvia	56.4975	25.866388888889	24146	Maardu	59.478055555556	25.016111111111	17141	Estonia	335	EU
Ludza	Latvia	56.543888888889	27.721111111111	8718	Svishtov	43.618611111111	25.343888888889	31418	Bulgaria	1447	EU
Jūrmala	Latvia	56.972222222222	23.796944444444	57371	Anadia	40.433333333333	-8.4333333333333		Portugal	2950	EU
Rauna	Latvia	57.331944444444	25.609722222222	1584	Seesen	51.893055555556	10.178333333333	19296	Germany	1159	EU
Riga	Latvia	56.9475	24.106944444444	698529	Slough	51.509722222222	-0.59305555555556		United Kingdom	1704	EU
Jūrmala	Latvia	56.972222222222	23.796944444444	57371	Cabourg	49.288333333333	-0.11638888888889	3709	France	1796	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Agros	34.916666666667	33.016666666667	806	Cyprus	2547	EU
Riga	Latvia	56.9475	24.106944444444	698529	Bremen	53.076944444444	8.8088888888889	551767	Germany	1063	EU
Jēkabpils	Latvia	56.4975	25.866388888889	24146	Melle	52.203055555556	8.3361111111111	45844	Germany	1228	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Škofja Loka	46.166666666667	14.3		Slovenia	1418	EU
Jelgava	Latvia	56.652222222222	23.724444444444	61623	Rueil-Malmaison	48.877777777778	2.1883333333333	79762	France	1677	EU
Saldus	Latvia	56.666666666667	22.493611111111	11479	Villebon-sur-Yvette	48.7	2.2277777777778	10344	France	1619	EU
Ventspils	Latvia	57.389722222222	21.564444444444	39861	Stralsund	54.3	13.083333333333	58041	Germany	630	EU
Vecpiebalga	Latvia	57.061944444444	25.810833333333	596	Bürgel	50.941388888889	11.753888888889	3067	Germany	1140	EU
Valmiera	Latvia	57.538055555556	25.423055555556	25093	Viljandi	58.363333333333	25.595555555556	17549	Estonia	92	EU
Ventspils	Latvia	57.389722222222	21.564444444444	39861	Lorient	47.745833333333	-3.3663888888889	57961	France	1980	EU
Salacgrīva	Latvia	57.749444444444	24.358611111111	3010	Handewitt	54.766666666667	9.3166666666667		Germany	984	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Siret	47.95	26.06	7976	Romania	1027	EU
Strenči	Latvia	57.627222222222	25.685	1228	Sayda	50.716666666667	13.416666666667		Germany	1105	EU
Sigulda	Latvia	57.153888888889	24.854444444444	11821	Türi	58.809444444444	25.429166666667	5257	Estonia	187	EU
Koknese	Latvia	56.65	25.433333333333	2818	Wittingen	52.716666666667	10.733333333333	11410	Germany	1038	EU
Dobele	Latvia	56.625833333333	23.281111111111	10113	Schmölln	50.895	12.356388888889	11361	Germany	958	EU
Ogre	Latvia	56.816944444444	24.604722222222	25380	Nový Bydžov	50.241552543371	15.490898003773	7043	Czech Republic	946	EU
