origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Prienai	Lithuania	54.633333333333	23.941666666667		Tryavna	42.866666666667	25.491944444444	9831	Bulgaria	1313	EU
Joniškis	Lithuania	56.24335	23.617859		Dobele	56.625833333333	23.281111111111	10113	Latvia	47	EU
Klaipėda	Lithuania	55.7075	21.142777777778	240000	Liepāja	56.508333333333	21.011111111111	78144	Latvia	89	EU
Vilnius	Lithuania	54.683333333333	25.283333333333	532762	Duisburg	51.432222222222	6.7611111111111	491231	Germany	1285	EU
Vilnius	Lithuania	54.683333333333	25.283333333333	532762	Prague	50.088611111111	14.421388888889	1280508	Czech Republic	895	EU
Plungė	Lithuania	55.916666666667	21.85		Huddersfield	53.645	-1.7797222222222		United Kingdom	1528	EU
Vilnius	Lithuania	54.683333333333	25.283333333333	532762	Erfurt	50.978055555556	11.029166666667	210118	Germany	1040	EU
Kaunas	Lithuania	54.9	23.933333333333	297669	Brno	49.195277777778	16.608333333333	377973	Czech Republic	807	EU
Anykščiai	Lithuania	55.534444444444	25.107222222222		Nepomuk	49.486259587175	13.582292906584	3716	Czech Republic	1028	EU
Vilnius	Lithuania	54.683333333333	25.283333333333	532762	Ljubljana	46.05	14.516666666667	287000	Slovenia	1224	EU
Vilnius	Lithuania	54.683333333333	25.283333333333	532762	Bratislava	48.144722222222	17.112777777778	625167	Slovakia	920	EU
Varėna	Lithuania	54.266666666667	24.583333333333		Prenzlau	53.316666666667	13.866666666667		Germany	711	EU
Prienai	Lithuania	54.633333333333	23.941666666667		Siret	47.95	26.06	7976	Romania	757	EU
Plungė	Lithuania	55.916666666667	21.85		Viljandi	58.363333333333	25.595555555556	17549	Estonia	354	EU
Prienai	Lithuania	54.633333333333	23.941666666667		Sušice	49.231161465796	13.520207848015	11127	Czech Republic	932	EU
Prienai	Lithuania	54.633333333333	23.941666666667		Granville	48.838055555556	-1.5869444444444	13104	France	1860	EU
Neringa Municipality	Lithuania	55.555555555556	21.116666666667		Fehmarn	54.4375	11.196944444444	12467	Germany	644	EU
Telšiai	Lithuania	55.986111111111	22.252777777778		Bassum	52.849444444444	8.7266666666667	15634	Germany	940	EU
Plungė	Lithuania	55.916666666667	21.85		Menden (Sauerland)	51.433333333333	7.8		Germany	1048	EU
Aukštadvaris	Lithuania	54.580555555556	24.527777777778	977	Barby	51.966666666667	11.866666666667	8938	Germany	889	EU
