origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Meerssen	Netherlands	50.8858	5.7519	19046	Chojna	52.966666666667	14.416666666667			Poland	637	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Preveza	38.95	20.75	19042		Greece	1770	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Liège	50.65	5.5666666666667	196291		Belgium	161	EU
Zwijndrecht	Netherlands	51.816666666667	4.65	44454	Zwijndrecht	51.216666666667	4.3333333333333			Belgium	70	EU
Renkum	Netherlands	51.966666666667	5.7333333333333	31247	Dębno	52.733333333333	14.7			Poland	615	EU
Venlo	Netherlands	51.366666666667	6.1666666666667	100862	Klagenfurt	46.616666666667	14.3	99125		Austria	794	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Prienai	54.633333333333	23.941666666667			Lithuania	1289	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Altea	38.6	-0.048888888888889	21739		Spain	1440	EU
Eindhoven	Netherlands	51.434444444444	5.4841666666667	221402	Białystok	53.116666666667	23.166666666667	295624		Poland	1214	EU
IJsselstein	Netherlands	52.02	5.0422	34102	Herentals	51.1761	4.8317			Belgium	95	EU
Voorschoten	Netherlands	52.116666666667	4.4333333333333	25214	Schoten	51.25	4.5			Belgium	96	EU
Goes	Netherlands	51.5	3.8833333333333	36989	Panevėžys	55.725	24.363888888889			Lithuania	1424	EU
Bergen op Zoom	Netherlands	51.5	4.3	66445	Oudenaarde	50.85	3.6			Belgium	87	EU
Helmond	Netherlands	51.483333333333	5.65	89584	Mechelen	51.016666666667	4.4666666666667			Belgium	97	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Bellagio	45.9875	9.2619444444444			Italy	603	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Szeged	46.25	20.166666666667	162593		Hungary	1301	EU
Wierden	Netherlands	52.35	6.5833	23954	Maldegem	51.2089	3.4464			Belgium	250	EU
Sint-Michielsgestel	Netherlands	51.6433	5.3586	28413	Buk	52.35	16.516666666667			Poland	767	EU
Coevorden	Netherlands	52.666666666667	6.75	35354	Kutno	52.233333333333	19.366666666667			Poland	855	EU
Groningen	Netherlands	53.216666666667	6.55	200952	Katowice	50.25	19	303314		Poland	917	EU
Stein	Netherlands	50.9679	5.7652	25056	Maasmechelen	50.9967	5.7025			Belgium	5	EU
Wageningen	Netherlands	51.964444444444	5.6630555555556	37865	Gödöllő	47.6	19.366666666667	32720		Hungary	1095	EU
Veldhoven	Netherlands	51.4197	5.3992	44322	Jarocin	51.966666666667	17.5			Poland	835	EU
Etten-Leur	Netherlands	51.5706	4.6356	42834	Šiauliai	55.928055555556	23.316666666667	107875		Lithuania	1315	EU
Middelburg	Netherlands	51.499722222222	3.6136111111111	47939	Vilvoorde	50.928138888889	4.4244888888889			Belgium	85	EU
Amsterdam	Netherlands	52.366666666667	4.8833333333333	834119	Copenhagen	55.676111111111	12.568888888889	591481		Denmark	622	EU
Valkenswaard	Netherlands	51.35	5.4592	30336	Tienen	50.8	4.9333333333333			Belgium	71	EU
Roermond	Netherlands	51.194166666667	5.9875	57308	Koszalin	54.190277777778	16.181666666667	108576		Poland	763	EU
Castricum	Netherlands	52.5517	4.6583	34599	Balatonfüred	46.95	17.883333333333	13224		Hungary	1133	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Gdańsk	54.366666666667	18.633333333333	462249		Poland	980	EU
Abcoude	Netherlands	52.2719	4.9703	8657	Lennik	50.8	4.15			Belgium	173	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Kőszeg	47.381666666667	16.551944444444	11702		Hungary	876	EU
Delfzijl	Netherlands	53.333333333333	6.9166666666667	25732	Zelzate	51.1975	3.8139			Belgium	318	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Turin	45.066666666667	7.7	889600		Italy	799	EU
Heumen	Netherlands	51.7656	5.8433	16363	Csorna	47.6167	17.25	10400		Hungary	940	EU
Gorinchem	Netherlands	51.833333333333	4.9666666666667	35255	Sint-Niklaas	51.164444444444	4.1391666666667			Belgium	94	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Oxelösund	58.666666666667	17.116666666667	15085		Sweden	1128	EU
Heerenveen	Netherlands	52.9658	6.0503	50175	Baselga di Pinè	46.129763888889	11.244633333333			Italy	847	EU
Franekeradeel	Netherlands	53.183333333333	5.5333333333333	20272	Sátoraljaújhely	48.393888888889	21.656111111111	14956		Hungary	1249	EU
Helmond	Netherlands	51.483333333333	5.65	89584	Zielona Góra	51.939722222222	15.505	138763		Poland	680	EU
Eemsmond	Netherlands	53.4	6.6667	15808	Krosno Odrzańskie	52.033333333333	15.1			Poland	588	EU
Veendam	Netherlands	53.1	6.8833333333333	27752	Gniezno	52.533333333333	17.6			Poland	722	EU
Aalburg	Netherlands	51.753888888889	5.1313888888889	12906	Heves	47.6	20.283333333333	10695		Hungary	1181	EU
Domburg	Netherlands	51.5625	3.4964	1490	Arenzano	44.403527777778	8.6827111111111			Italy	884	EU
Eindhoven	Netherlands	51.434444444444	5.4841666666667	221402	Białystok	53.133333333333	23.166666666667	295624		Poland	1214	EU
Venlo	Netherlands	51.366666666667	6.1666666666667	100862	Gorizia	45.9352	13.6193			Italy	814	EU
Groningen	Netherlands	53.216666666667	6.55	200952	Graz	47.066666666667	15.433333333333	282479		Austria	930	EU
Bergen op Zoom	Netherlands	51.5	4.3	66445	Szczecinek	53.716666666667	16.683333333333			Poland	870	EU
Heiloo	Netherlands	52.6011	4.7019	22678	Świętochłowice	50.316666666667	18.916666666667			Poland	1015	EU
Zevenaar	Netherlands	51.916666666667	6.0833333333333	32271	Mátészalka	47.943055555556	22.316666666667	16902		Hungary	1240	EU
Krimpen aan den IJssel	Netherlands	51.92	4.6	29059	Kiskőrös	46.620277777778	19.283611111111	14164		Hungary	1214	EU
Schiedam	Netherlands	51.916666666667	4.4	77051	Udine	46.066666666667	13.233333333333	99094		Italy	914	EU
Almere	Netherlands	52.375833333333	5.2255555555556	198315	Växjö	56.883333333333	14.783333333333	39019		Sweden	792	EU
Tilburg	Netherlands	51.5572	5.0911		Lublin	51.233333333333	22.566666666667	324637		Poland	1210	EU
Lopik	Netherlands	51.9722	4.9464	14163	Sarsina	43.916666666667	12.15			Italy	1043	EU
Zevenaar	Netherlands	51.916666666667	6.0833333333333	32271	Tortona	44.894166666667	8.8655555555556	27163		Italy	807	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Houffalize	50.13202	5.78936			Belgium	84	EU
Hoogeveen	Netherlands	52.716666666667	6.4666666666667	55224	Bracciano	42.1	12.183333			Italy	1255	EU
Maassluis	Netherlands	51.916666666667	4.25	32287	Hatvan	47.668055555556	19.669722222222	20366		Hungary	1200	EU
Almere	Netherlands	52.375833333333	5.2255555555556	198315	Aalborg	57.05	9.9166666666667	112194		Denmark	600	EU
Leiden	Netherlands	52.154444444444	4.4947222222222	121163	Toruń	53.016666666667	18.616666666667	206765		Poland	957	EU
Rotterdam	Netherlands	51.95	4.4166666666667	629078	Esch-sur-Alzette	49.496944444444	5.9805555555556	33939		Luxembourg	294	EU
The Hague	Netherlands	52.084166666667	4.3175	515880	Warsaw	52.216666666667	21.033333333333	1748916		Poland	1138	EU
Heemstede	Netherlands	52.3528	4.62	26786	Anzio	41.44722222	12.62833333	54164		Italy	1355	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Judenburg	47.1725	14.660277777778	10195		Austria	769	EU
Groningen	Netherlands	53.216666666667	6.55	200952	Odense	55.4	10.383333333333	173814		Denmark	347	EU
Tilburg	Netherlands	51.57	5.07	46517	Lublin	51.233333333333	22.566666666667	324637		Poland	1211	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Bundoran	54.4754	-8.2838			Ireland	1025	EU
Waalwijk	Netherlands	51.683333333333	5.0666666666667	47022	Chojnice	53.7	17.55			Poland	869	EU
Alkmaar	Netherlands	52.616666666667	4.75	107822	Tata	47.655	18.328333333333	23613		Hungary	1111	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Holstebro	56.366666666667	8.6166666666667	35392		Denmark	638	EU
Opmeer	Netherlands	52.7033	4.9444	11338	Goleniów	53.55	14.816666666667			Poland	665	EU
Heerhugowaard	Netherlands	52.668	4.841	53946	Kalisz	51.7575	18.08	103738		Poland	906	EU
Alphen-Chaam	Netherlands	51.4992	4.8722	9918	Pniewy	52.516666666667	16.266666666667			Poland	787	EU
Haarlemmermeer	Netherlands	52.3008	4.6653	144538	Hódmezővásárhely	46.430277777778	20.318888888889	44795		Hungary	1304	EU
Assen	Netherlands	53	6.55	67329	Poznań	52.4	16.916666666667	544612		Poland	701	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Las Palmas de Gran Canaria	28.127222222222	-15.431388888889	378998		Spain	3120	EU
Borsele	Netherlands	51.466666666667	3.8	22613	Koekelberg	50.859166666667	4.3302777777778			Belgium	77	EU
Delfzijl	Netherlands	53.333333333333	6.9166666666667	25732	Cesenatico	44.2	12.416666666667	25796		Italy	1092	EU
Middelburg	Netherlands	51.499722222222	3.6136111111111	47939	Głogów	51.658888888889	16.080277777778			Poland	861	EU
Rotterdam	Netherlands	51.930833333333	4.4791666666667	631155	Esch-sur-Alzette	49.496944444444	5.9805555555556	33939		Luxembourg	291	EU
Amsterdam	Netherlands	52.383333333333	4.9	825080	A verga	38	23.716666666667	664046		Greece	2162	EU
Wijchen	Netherlands	51.8067	5.7211	40804	Stargard	53.566666666667	15.033333333333			Poland	657	EU
Amsterdam	Netherlands	52.366666666667	4.8833333333333	834119	Brussels	50.8467	4.3547	1197732		Belgium	173	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Karkkila	60.534722222222	24.209722222222	8969		Finland	1567	EU
Almere	Netherlands	52.375833333333	5.2255555555556	198315	Växjö Municipality	56.883333333333	14.8	85991		Sweden	793	EU
Meerssen	Netherlands	50.8858	5.7519	19046	Niederanven	49.651388888889	6.2555555555556	5737		Luxembourg	142	EU
Gorinchem	Netherlands	51.833333333333	4.9666666666667	35255	Lucca	43.85	10.516666666667	88574		Italy	979	EU
Amstelveen	Netherlands	52.3	4.8333333333333	88659	Óbuda-Békásmegyer	47.567397	19.037002	128535		Hungary	1142	EU
Heemstede	Netherlands	52.3528	4.62	26786	Anzio	41.433333333333	12.616666666667	54164		Italy	1355	EU
Borne	Netherlands	52.3	6.75	22345	Trakai	54.633333333333	24.933333333333			Lithuania	1227	EU
Amsterdam	Netherlands	52.366666666667	4.8833333333333	834119	A verga	38	23.716666666667	664046		Greece	2162	EU
Breda	Netherlands	51.583333333333	4.7833333333333		Wrocław	51.10773	17.03533	634404		Poland	852	EU
Oirschot	Netherlands	51.5047	5.3128	18196	Westerlo	51.0897	4.9153			Belgium	54	EU
Franeker	Netherlands	53.2	5.5333333333333		Sátoraljaújhely	48.393888888889	21.656111111111	14956		Hungary	1249	EU
Kampen	Netherlands	52.555	5.9197222222222	52398	Pápa	47.330555555556	17.465833333333	31190		Hungary	1008	EU
Aalburg	Netherlands	51.753888888889	5.1313888888889	13033	Heves	47.6	20.283333333333	10695		Hungary	1181	EU
