origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Bełchatów	Poland	51.366666666667	19.366666666667	59025	Csongrád	46.711111111111	20.140277777778	16564	Hungary	521	EU
Sosnowiec	Poland	50.3	19.166666666667	214488	Komárom	47.735833333333	18.156388888889	18957	Hungary	294	EU
Opole Lubelskie	Poland	51.15	21.966666666667		Sátoraljaújhely	48.393888888889	21.656111111111	14956	Hungary	307	EU
Namysłów	Poland	51.072777777778	17.706944444444		Kisköre	47.5	20.5	2911	Hungary	446	EU
Suchy Las	Poland	52.47528	16.8825		Tamási	46.616666666667	18.3	8179	Hungary	659	EU
Nowy Sącz	Poland	49.623888888889	20.697222222222		Kiskunhalas	46.431944444444	19.488333333333	27714	Hungary	366	EU
Racibórz	Poland	50.083333333333	18.233333333333		Zugló	47.5125	19.10833333	124956	Hungary	293	EU
Wilamowice	Poland	49.9	19.15	2813	Kisújszállás	47.216666666667	20.766666666667	11249	Hungary	321	EU
Kraków	Poland	50.066666666667	19.95	761900	Pécs	46.083333333333	18.216666666667	145985	Hungary	461	EU
Zgierz	Poland	51.856388888889	19.406111111111		Hódmezővásárhely	46.430277777778	20.318888888889	44795	Hungary	607	EU
Świdnica	Poland	50.846111111111	16.491388888889		Kazincbarcika	48.253055555556	20.645555555556	27487	Hungary	416	EU
Łańcut	Poland	50.066666666667	22.233333333333		Balmazújváros	47.616666666667	21.35	17448	Hungary	280	EU
Jarocin	Poland	51.966666666667	17.5		Hatvan	47.668055555556	19.669722222222	20366	Hungary	503	EU
Rzeszów	Poland	50.05	22	182548	Nyíregyháza	47.95	21.716666666667	118125	Hungary	234	EU
Żary	Poland	51.633333333333	15.133333333333		Gárdony	47.197311111111	18.609061111111	10206	Hungary	553	EU
Jasło	Poland	49.733333333333	21.466666666667		Makó	46.22	20.478888888889	22926	Hungary	397	EU
Uniejów	Poland	51.97	18.800277777778		Mórahalom	46.216666666667	19.883333333333	5938	Hungary	645	EU
Dębica	Poland	50.05	21.416666666667		Kapuvár	47.6	17.033055555556	10393	Hungary	421	EU
Chojna	Poland	52.966666666667	14.416666666667		Kőszeg	47.381666666667	16.551944444444	11702	Hungary	639	EU
Ustrzyki Dolne	Poland	49.433333333333	22.6		Zamárdi	46.884338888889	17.950511111111	2424	Hungary	446	EU
Gmina Bakałarzewo	Poland	54.087777777778	22.643055555556		Attert	49.75	5.786667		Belgium	1249	EU
Dębica	Poland	50.05	21.416666666667		Puurs	51.0761	4.2803		Belgium	1213	EU
Kolbuszowa	Poland	50.25	21.766666666667		Cobh	51.851	-8.2967	12347	Ireland	2094	EU
Brzesko	Poland	49.966666666667	20.616666666667		Százhalombatta	47.316666666667	18.911388888889	18617	Hungary	320	EU
Cieszanów	Poland	50.245833333333	23.13		Diósd	47.404166666667	18.945833333333	9628	Hungary	440	EU
Katowice	Poland	50.25	19	303314	Miskolc	48.1044444	20.7897222	159554	Hungary	272	EU
Gmina Kobiór	Poland	50.060277777778	18.939444444444		Sajószentpéter	48.216944444444	20.718333333333	11679	Hungary	242	EU
Kraków	Poland	50.066666666667	19.95	761900	Leuven	50.866666666667	4.7	98292	Belgium	1081	EU
Łańcut	Poland	50.066666666667	22.233333333333		Baktalórántháza	47.9975	22.076388888889	3987	Hungary	230	EU
Kielce	Poland	50.8725	20.631944444444	191605	Budapest	47.498333333333	19.040833333333	1757618	Hungary	393	EU
Stary Sącz	Poland	49.5625	20.636388888889		Dunakeszi	47.629722222222	19.138055555556	41846	Hungary	241	EU
Szamotuły	Poland	52.6	16.583333333333		Tielt	50.9989	3.3258		Belgium	927	EU
Chrzanów	Poland	50.133333333333	19.4	38989	Nyékládháza	47.991666666667	20.836944444444	4876	Hungary	260	EU
Gmina Zakrzówek	Poland	50.933333333333	22.366666666667		Malle	51.2989	4.7114		Belgium	1230	EU
Kalisz	Poland	51.7575	18.08	103738	Szentendre	47.673333333333	19.0725	25542	Hungary	460	EU
Piwniczna-Zdrój	Poland	49.435277777778	20.711388888889		Balatongyörök	46.761630555556	17.348680555556	1030	Hungary	388	EU
Gniezno	Poland	52.533333333333	17.6		Esztergom	47.785555555556	18.740277777778	28102	Hungary	534	EU
Lubaczów	Poland	50.155600888889	23.122991388889		Érd	47.383333333333	18.916666666667	63993	Hungary	436	EU
Radomsko	Poland	51.066666666667	19.45		Makó	46.22	20.478888888889	22926	Hungary	544	EU
Łódź	Poland	51.759494444444	19.458511111111	715360	Szeged	46.25	20.166666666667	162593	Hungary	615	EU
Dukla	Poland	49.566666666667	21.683333333333		Budapest XVII. kerülete	47.48027778	19.26666667	87569	Hungary	292	EU
Gdańsk	Poland	54.366666666667	18.633333333333	462249	Ghent	51.05	3.7166666666667	257029	Belgium	1068	EU
Gmina Mogilany	Poland	49.938333333333	19.891944444444		Sásd	46.254444444444	18.105833333333	3094	Hungary	431	EU
Wadowice	Poland	49.883333333333	19.5		Kecskemét	46.906944444444	19.693333333333	111724	Hungary	331	EU
Jaworzno	Poland	50.2	19.275	94305	Szigethalom	47.322777777778	19.012777777778	16964	Hungary	320	EU
Skoczów	Poland	49.816666666667	18.8		Békéscsaba	46.683333333333	21.083333333333	60334	Hungary	387	EU
Gmina Chrzanów, Lesser Poland Voivodeship	Poland	50.133333333333	19.4	49399	Nyékládháza	47.991666666667	20.836944444444	4876	Hungary	260	EU
Piotrków Trybunalski	Poland	51.4	19.683333333333	77810	Mosonmagyaróvár	47.866666666667	17.266666666667	32752	Hungary	430	EU
Dziemiany	Poland	54.006388888889	17.768333333333		Káloz	46.957280555556	18.48475	2370	Hungary	785	EU
Tarnów	Poland	50.0125	20.988611111111	110956	Schoten	51.25	4.5		Belgium	1169	EU
Katowice	Poland	50.25	19	303314	South Dublin	53.307777777778	-6.4130555555556		Ireland	1771	EU
Gorlice	Poland	49.666666666667	21.166666666667		Pápa	47.330555555556	17.465833333333	31190	Hungary	377	EU
Opole	Poland	50.666666666667	17.933333333333	125992	Székesfehérvár	47.2	18.416666666667	98673	Hungary	387	EU
Kalisz	Poland	51.7575	18.08	103738	Tongeren	50.7794	5.4631		Belgium	883	EU
Krosno	Poland	49.683333333333	21.75		Sátoraljaújhely	48.393888888889	21.656111111111	14956	Hungary	144	EU
Dąbrowa Tarnowska	Poland	50.166666666667	20.983333333333		18th district of Budapest	47.43333333	19.16666667	101613	Hungary	332	EU
Suchy Las	Poland	52.47528	16.8825		Tamási	46.61666667	18.3	8179	Hungary	659	EU
Żywiec	Poland	49.689166666667	19.205833333333		Gödöllő	47.6	19.366666666667	32720	Hungary	233	EU
Kalisz	Poland	51.7575	18.08	103738	La Louvière	50.477777777778	4.1880555555556		Belgium	978	EU
Jarosław	Poland	50.018611111111	22.679722222222	38796	Kőbánya	47.481214	19.130303	78703	Hungary	384	EU
Katowice	Poland	50.25	19	303314	Miskolc	48.105555555556	20.783333333333	159554	Hungary	272	EU
Knurów	Poland	50.216666666667	18.683333333333		Kazincbarcika	48.253055555556	20.645555555556	27487	Hungary	261	EU
Strzyżów	Poland	49.883333333333	21.783333333333		Kisvárda	48.226388888889	22.084444444444	16628	Hungary	186	EU
Lublin	Poland	51.233333333333	22.566666666667	324637	Debrecen	47.53	21.639166666667	203506	Hungary	417	EU
Chojna	Poland	52.966666666667	14.416666666667		Bundoran	54.4754	-8.2838		Ireland	1496	EU
Rawa Mazowiecka	Poland	51.766666666667	20.25		Nyírbátor	47.835277777778	22.13	12259	Hungary	457	EU
Chojna	Poland	52.966666666667	14.416666666667		Houffalize	50.13202	5.78936		Belgium	674	EU
Ludwin	Poland	51.33333	22.9		Téglás	47.716666666667	21.683333333333	6406	Hungary	412	EU
Łańcut	Poland	50.066666666667	22.233333333333		Keszthely	46.769444444444	17.264722222222	20116	Hungary	518	EU
Sucha Beskidzka	Poland	49.740277777778	19.588611111111		Jászberény	47.5	19.916666666667	26372	Hungary	250	EU
Bakałarzewo	Poland	54.08333	22.63333		Attert	49.75	5.786667		Belgium	1248	EU
Poznań	Poland	52.4	16.916666666667	544612	Győr	47.683333333333	17.633333333333	129372	Hungary	527	EU
Żory	Poland	50.05	18.7		Mezőkövesd	47.806666666667	20.564722222222	16394	Hungary	284	EU
Kępno	Poland	51.283333333333	17.983333333333		Encs	48.330555555556	21.121666666667	6402	Hungary	398	EU
Krosno	Poland	49.683333333333	21.75		Zalaegerszeg	46.839166666667	16.851111111111	58959	Hungary	481	EU
Gmina Nawojowa	Poland	49.559444444444	20.741944444444		Jánoshalma	46.296666666667	19.322777777778	8675	Hungary	378	EU
Kołobrzeg	Poland	54.166666666667	15.566666666667	46716	Koekelberg	50.859166666667	4.3302777777778		Belgium	843	EU
Siemianowice Śląskie	Poland	50.275833333333	18.985833333333		Mohács	45.995833333333	18.679722222222	17433	Hungary	476	EU
Zduńska Wola	Poland	51.6	18.966666666667		Lőrinci	47.737777777778	19.678611111111	5557	Hungary	432	EU
Wolbrom	Poland	50.4	19.766666666667		Domaszék	46.25	20.016666666667	4919	Hungary	462	EU
Nowy Sącz	Poland	49.623888888889	20.697222222222		Kiskunhalas Subregion	46.36666667	19.53333333		Hungary	372	EU
Sanok	Poland	49.55	22.216666666667		Gyöngyös	47.783333333333	19.933333333333	30190	Hungary	258	EU
Kościan	Poland	52.083333333333	16.65		Sümeg	46.9775	17.281666666667	6189	Hungary	570	EU
Myślenice	Poland	49.833333333333	19.933333333333		Csopak	46.978288888889	17.918769444444	1759	Hungary	351	EU
Mielec	Poland	50.283333333333	21.433333333333		Tiszaföldvár	46.983333333333	20.25	10878	Hungary	377	EU
Gliwice	Poland	50.283333333333	18.666666666667	186347	Salgótarján	48.085277777778	19.786666666667	35811	Hungary	258	EU
Świętochłowice	Poland	50.316666666667	18.916666666667		Tiszaújváros	47.922777777778	21.051944444444	16168	Hungary	308	EU
Lubliniec	Poland	50.683333333333	18.683333333333		Kiskunmajsa	46.492222222222	19.736666666667	11381	Hungary	472	EU
Szczawnica	Poland	49.416666666667	20.483333333333		Harkány	45.8475	18.236666666667	4219	Hungary	431	EU
Tarnów	Poland	50.0125	20.988611111111	110956	Kiskőrös	46.620277777778	19.283611111111	14164	Hungary	398	EU
Busko-Zdrój	Poland	50.466666666667	20.716666666667		Szigetszentmiklós	47.345277777778	19.048333333333	35656	Hungary	368	EU
Ustroń	Poland	49.716666666667	18.816666666667		Hajdúnánás	47.85	21.433333333333	17172	Hungary	283	EU
Ustroń	Poland	49.716666666667	18.816666666667		Újbuda	47.475	19.04	152620	Hungary	250	EU
Cieszyn	Poland	49.75	18.633333333333	36119	Genk	50.95	5.5		Belgium	940	EU
Białogard	Poland	54	15.983333333333	24570	Olen	51.1433	4.86		Belgium	815	EU
Ostrołęka	Poland	53.083333333333	21.583333333333		Balassagyarmat	48.078611111111	19.293888888889	15570	Hungary	579	EU
Kobiór	Poland	50.060278	18.939444		Sajószentpéter	48.216944444444	20.718333333333	11679	Hungary	242	EU
Krosno	Poland	49.683333333333	21.75		Sárospatak	48.318888888889	21.566111111111	12256	Hungary	152	EU
Siewierz	Poland	50.473333333333	19.233055555556		Edelény	48.296666666667	20.744166666667	9739	Hungary	266	EU
Będzin	Poland	50.333333333333	19.116666666667		Tatabánya	47.58616	18.39485	66791	Hungary	310	EU
Lublin	Poland	51.233333333333	22.566666666667	324637	Granada‎	37.178055555556	-3.6008333333333	234758	Spain	2583	EU
Kołobrzeg	Poland	54.166666666667	15.566666666667	46716	Nexø	55.0625	15.131944444444		Denmark	103	EU
Świecie	Poland	53.416666666667	18.433333333333		Kuusankoski	60.908333333333	26.623611111111		Finland	967	EU
Police	Poland	53.533333333333	14.566666666667		Korsør	55.3283	11.1397		Denmark	298	EU
Chojna	Poland	52.966666666667	14.416666666667		Niederanven	49.651388888889	6.2555555555556	5737	Luxembourg	676	EU
Gdańsk	Poland	54.366666666667	18.633333333333	462249	Kalmar	56.666666666667	16.366666666667	36392	Sweden	293	EU
Łódź	Poland	51.759494444444	19.458511111111	715360	Tampere	61.498055555556	23.760833333333	225118	Finland	1114	EU
Kielce	Poland	50.8725	20.631944444444	191605	Herning	56.133333333333	8.9666666666667		Denmark	966	EU
Gniezno	Poland	52.533333333333	17.6		Roskilde	55.641666666667	12.080833333333	50046	Denmark	499	EU
