origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Setúbal	Portugal	38.524305555556	-8.8926111111111		Udine	46.066666666667	13.233333333333	99094		Italy	1995	EU
Faro	Portugal	37.016666666667	-7.9333333333333		Málaga	36.716666666667	-4.4166666666667	569009		Spain	315	EU
Coimbra	Portugal	40.201272222222	-8.4077388888889	143396	Padua	45.406388888889	11.877777777778	211560		Italy	1747	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Bundoran	54.4754	-8.2838			Ireland	1785	EU
Vila Viçosa	Portugal	38.75	-7.4333333333333		Sigüenza	41.069166666667	-2.6391666666667	4551		Spain	483	EU
Santa Maria da Feira Municipality	Portugal	40.933333333333	-8.5333333333333		Fara Filiorum Petri	42.248333333333	14.185833333333			Italy	1889	EU
Porto	Portugal	41.15	-8.6	237591	Liège	50.65	5.5666666666667	196291		Belgium	1517	EU
Câmara de Lobos	Portugal	32.65	-16.966666666667		Forio	40.733333333333	13.85			Italy	2874	EU
Oliveira de Azeméis	Portugal	40.833333333333	-8.4833333333333		Castelnuovo Magra	44.099366666667	10.017786111111			Italy	1557	EU
Lisbon	Portugal	38.716666666667	-9.1666666666667	545245	Madrid	40.418888888889	-3.6919444444444	3165541		Spain	506	EU
Alcobaça, Portugal	Portugal	39.55	-8.975	55597	Bełchatów	51.366666666667	19.366666666667	59025		Poland	2548	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Judenburg	47.1725	14.660277777778	10195		Austria	2156	EU
Tavira Municipality	Portugal	37.116666666667	-7.65	26167	Łańcut	50.066666666667	22.233333333333			Poland	2777	EU
Coimbra	Portugal	40.201272222222	-8.4077388888889	143396	Santiago de Compostela	42.883333333333	-8.5333333333333	95966		Spain	298	EU
Viseu	Portugal	40.666666666667	-7.9166666666667		Arezzo	43.463055555556	11.878055555556	99541		Italy	1659	EU
Faro	Portugal	37.016666666667	-7.9333333333333		Huelva	37.25	-6.95	145468		Spain	91	EU
Batalha	Portugal	39.65	-8.8166666666667		Trujillo	39.465277777778	-5.8788888888889	9436		Spain	253	EU
Sousel	Portugal	38.95	-7.6666666666667		San Mauro Pascoli	44.1	12.416666666667			Italy	1762	EU
Aveiro	Portugal	40.638888888889	-8.6552777777778	73559	Venice	45.439722222222	12.331944444444	264579		Italy	1781	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Holstebro	56.366666666667	8.6166666666667	35392		Denmark	2383	EU
Coimbra	Portugal	40.201272222222	-8.4077388888889	143396	Esch-sur-Alzette	49.496944444444	5.9805555555556	33939		Luxembourg	1530	EU
Nazaré	Portugal	39.6	-9.0666666666667		Badajoz	38.88	-6.97	149946		Spain	198	EU
Santiago do Cacém Municipality	Portugal	38	-8.6833333333333		Santiago de Compostela	42.883333333333	-8.5333333333333	95966		Spain	543	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Karkkila	60.534722222222	24.209722222222	8969		Finland	3371	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Niederanven	49.651388888889	6.2555555555556	5737		Luxembourg	1743	EU
Vila Nova da Barquinha	Portugal	39.45	-8.4333333333333		Madone	45.65	9.55			Italy	1622	EU
Santo Tirso Municipality	Portugal	41.35	-8.4833333333333		Celanova	42.150833333333	-7.9566666666667	5508		Spain	99	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Chojna	52.966666666667	14.416666666667			Poland	2418	EU
Albufeira Municipality	Portugal	37.0897	-8.24583		Linz	48.3	14.283333333333	198181		Austria	2210	EU
Penela Municipality	Portugal	40.033333333333	-8.3833333333333		Morcone	41.333333333333	14.666666666667			Italy	1943	EU
Funchal	Portugal	32.65	-16.916666666667	111892	Parla	40.237222222222	-3.7741666666667	124661		Spain	1444	EU
Lisbon	Portugal	38.716666666667	-9.1666666666667	545245	A verga	38	23.716666666667	664046		Greece	2853	EU
Sesimbra Municipality	Portugal	38.433333333333	-9.1		Prienai	54.633333333333	23.941666666667			Lithuania	3058	EU
Coimbra	Portugal	40.201272222222	-8.4077388888889	143396	Zaragoza	41.65	-0.88333333333333	661108		Spain	652	EU
Portalegre, Portugal	Portugal	39.316666666667	-7.4166666666667		Cáceres	39.473055555556	-6.3711111111111	95814		Spain	92	EU
Vila Real	Portugal	41.283333333333	-7.8		Ourense	42.336388888889	-7.8633333333333	105893		Spain	117	EU
