origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Salonta	Romania	46.8	21.65	17735	Hajdúböszörmény	47.666666666667	21.516666666667	31224		Hungary	97	EU
Turda	Romania	46.566666666667	23.783333333333	47744	Bihartorda	47.216666666667	21.366666666667	941		Hungary	197	EU
Ghelința	Romania	45.895971	26.331783	4815	Dunaszentgyörgy	46.533333	18.833333	2562		Hungary	581	EU
Rimetea	Romania	46.4512256	23.5482422	1126	Budapest V. District	47.5	19.05	26277		Hungary	361	EU
Sovata	Romania	46.596111111111	25.074444444444	10385	Százhalombatta	47.316666666667	18.911388888889	18617		Hungary	474	EU
Sângeorgiu de Pădure	Romania	46.430277777778	24.841666666667	5166	Celldömölk	47.2575	17.1525	10927		Hungary	592	EU
Pâncota	Romania	46.3225	21.686944444444	6946	Nagybánhegyes	46.466666666667	20.9	1224		Hungary	62	EU
Borsec	Romania	46.966666666667	25.57	2585	Bonyhád	46.283333333333	18.516666666667	13471		Hungary	544	EU
Siret	Romania	47.95	26.06	7976	Bundoran	54.4754	-8.2838			Ireland	2472	EU
Târgu Secuiesc	Romania	45.996944444444	26.140555555556	18491	Kisvárda	48.226388888889	22.084444444444	16628		Hungary	394	EU
Sânmartin	Romania	46.265681	25.937501	1171	Zalahaláp	46.914711111111	17.457119444444	1204		Hungary	652	EU
Siret	Romania	47.95	26.06	7976	Houffalize	50.13202	5.78936			Belgium	1492	EU
Sovata	Romania	46.596111111111	25.074444444444	10385	Szikszó	48.195	20.946111111111	5410		Hungary	358	EU
Siculeni	Romania	46.435567	25.752423	2726	Somberek	46.081080555556	18.662261111111	1358		Hungary	546	EU
Săcueni	Romania	47.3525	22.0914	11526	Écaussinnes	50.566666666667	4.1833333333333			Belgium	1352	EU
Borsec	Romania	46.966666666667	25.57	2585	Orfű	46.138230555556	18.155419444444	1037		Hungary	574	EU
Sânmartin	Romania	46.265681	25.937501	1171	Kenderes	47.25	20.683333333333	4508		Hungary	415	EU
Pecica	Romania	46.17	21.07	12762	Battonya	46.283333333333	21.016666666667	5960		Hungary	13	EU
Sovata	Romania	46.596111111111	25.074444444444	10385	Sümeg	46.9775	17.281666666667	6189		Hungary	595	EU
Rusca Montană	Romania	45.56741	22.458161	1506	Bertrix	49.854166666667	5.2533333333333			Belgium	1369	EU
Ghelința	Romania	45.895971	26.331783	4815	Encs	48.330555555556	21.121666666667	6402		Hungary	478	EU
Valea lui Mihai	Romania	47.52	22.13	9902	Balmazújváros	47.616666666667	21.35	17448		Hungary	59	EU
Cristuru Secuiesc	Romania	46.291666666667	25.035277777778	9650	Kunszentmiklós	47.026388888889	19.122777777778	8334		Hungary	458	EU
Miercurea Nirajului	Romania	46.53	24.8	5554	Aszód	47.651388888889	19.489444444444	6162		Hungary	421	EU
Carei	Romania	47.69	22.47	21112	Mátészalka	47.943055555556	22.316666666667	16902		Hungary	30	EU
Valea lui Mihai	Romania	47.52	22.13	9902	Hajdúnánás	47.85	21.433333333333	17172		Hungary	64	EU
Covasna	Romania	45.849166666667	26.185277777778	10114	Csenger	47.835	22.682222222222	4870		Hungary	346	EU
Băile Tușnad	Romania	46.142576	25.85559	1641	Harkány	45.8475	18.236666666667	4219		Hungary	589	EU
Lueta	Romania	46.266666666667	25.483333333333	3395	Budakalász	47.62153	19.04596	10660		Hungary	511	EU
Borsec	Romania	46.966666666667	25.57	2585	Zákányszék	46.266666666667	19.916666666667	2699		Hungary	439	EU
Zetea	Romania	46.383333333333	25.366666666667	4378	Gyöngyöspata	47.81388889	19.78944444	2476		Hungary	451	EU
Miercurea Nirajului	Romania	46.53	24.8	5554	Szerencs	48.162222222222	21.205	9013		Hungary	326	EU
Valea Crișului	Romania	45.916666666667	25.766666666667	2307	Mezőtúr	47.004166666667	20.618055555556	16675		Hungary	412	EU
Gheorgheni	Romania	46.72	25.59	18377	Budapest XVII. kerülete	47.48027778	19.26666667	87569		Hungary	486	EU
Aiud	Romania	46.310277777778	23.716666666667	22876	Siklós	45.851944444444	18.298611111111	9248		Hungary	421	EU
