origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	age	destination_countryLabel	dist	eu
Škofja Loka	Slovenia	46.166666666667	14.3		Niederanven	49.651388888889	6.2555555555556	5737		Luxembourg	713	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Karkkila	60.534722222222	24.209722222222	8969		Finland	1723	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Parma	44.801472222222	10.328	194152		Italy	355	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Pesaro	43.91015	12.9133	94512		Italy	269	EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Venice	45.439722222222	12.331944444444	264579		Italy	97	EU
Koper	Slovenia	45.546527777778	13.729444444444	47539	Corfu	39.616666666667	19.916666666667			Greece	831	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Bundoran	54.4754	-8.2838			Ireland	1839	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Athens	38	23.716666666667	664046		Greece	1173	EU
Bled	Slovenia	46.366666666667	14.116666666667	8192	Velden am Wörther See	46.6125	14.041944444444	8952		Austria	28	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Holstebro	56.366666666667	8.6166666666667	35392		Denmark	1200	EU
Lendava	Slovenia	46.566666666667	16.45		Seiersberg	47.01	15.398888888889			Austria	94	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Judenburg	47.1725	14.660277777778	10195		Austria	115	EU
Maribor	Slovenia	46.55	15.633333333333	112325	Udine	46.066666666667	13.233333333333	99094		Italy	192	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Kőszeg	47.381666666667	16.551944444444	11702		Hungary	218	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Savogna d'Isonzo	45.916666666667	13.583333333333			Italy	62	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Graz	47.066666666667	15.433333333333	282479		Austria	133	EU
Sežana	Slovenia	45.7	13.85		Sant'Ambrogio di Valpolicella	45.52089	10.83618			Italy	236	EU
Izola	Slovenia	45.534444444444	13.6675		Tolentino	43.208611111111	13.2841			Italy	260	EU
Celje	Slovenia	46.235833333333	15.2675		Spittal an der Drau	46.791666666667	13.495833333333	15505		Austria	149	EU
Kranj	Slovenia	46.233333333333	14.366666666667		Rivoli	45.0725	7.5272222222222			Italy	547	EU
Sežana	Slovenia	45.7	13.85		Sant'Ambrogio di Valpolicella	45.516666666667	10.833333333333			Italy	236	EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Łańcut	50.066666666667	22.233333333333			Poland	820	EU
Velenje	Slovenia	46.366666666667	15.116666666667	25333	Udine	46.066666666667	13.233333333333	99094		Italy	149	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Brussels	50.8467	4.3547	1197732		Belgium	919	EU
Slovenj Gradec	Slovenia	46.510277777778	15.080555555556		Vöcklabruck	48.008611111111	13.655833333333	12179		Austria	198	EU
Koper	Slovenia	45.546527777778	13.729444444444	47539	San Dorligo della Valle	45.6225	13.857777777778			Italy	13	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Oxelösund	58.666666666667	17.116666666667	15085		Sweden	1403	EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Aquileia	45.766666666667	13.366666666667	3369		Italy	31	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Chojna	52.966666666667	14.416666666667			Poland	756	EU
Sežana	Slovenia	45.7	13.85		Sant'Ambrogio sul Garigliano	41.383333333333	13.866666666667			Italy	480	EU
Maribor	Slovenia	46.55	15.633333333333	112325	Pétange	49.556388888889	5.8769444444444	17582		Luxembourg	798	EU
Novo Mesto	Slovenia	45.798055555556	15.162777777778	23341	Vilafranca del Penedès	41.344722222222	1.6994444444444	39365		Spain	1190	EU
Velenje	Slovenia	46.366666666667	15.116666666667	25333	Piotrków Trybunalski	51.4	19.683333333333	77810		Poland	651	EU
Trebnje	Slovenia	45.910377777778	15.008627777778		Castelnuovo del Garda	45.433333333333	10.766666666667			Italy	334	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Prienai	54.633333333333	23.941666666667			Lithuania	1161	EU
Nova Gorica	Slovenia	45.966666666667	13.65	13852	Klagenfurt	46.616666666667	14.3	99125		Austria	88	EU
Bled	Slovenia	46.366666666667	14.116666666667	8192	Brixen	46.716666666667	11.65	21535		Italy	193	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Obervellach	46.931944444444	13.202222222222	2285		Austria	120	EU
Piran	Slovenia	45.526111111111	13.570277777778	17491	Acqualagna	43.6167	12.6712			Italy	224	EU
Sežana	Slovenia	45.7	13.85		Turi, Apulia	40.916666666667	17.016666666667			Italy	590	EU
Slovenj Gradec	Slovenia	46.510277777778	15.080555555556		Várpalota	47.197222222222	18.139444444444	19918		Hungary	245	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Preveza	38.95	20.75	19042		Greece	960	EU
Novo Mesto	Slovenia	45.798055555556	15.162777777778	23341	Toruń	53.016666666667	18.616666666667	206765		Poland	840	EU
Lendava	Slovenia	46.566666666667	16.45		Zalaegerszeg	46.839166666667	16.851111111111	58959		Hungary	43	EU
Kamnik	Slovenia	46.225833333333	14.611944444444		Trofaiach	47.426111111111	15.006666666667	11227		Austria	137	EU
Nova Gorica	Slovenia	45.966666666667	13.65	13852	San Vendemiano	45.891388888889	12.338888888889	8776		Italy	102	EU
Radovljica	Slovenia	46.342517	14.172078		Sondrio	46.169719444444	9.87			Italy	331	EU
Ljubljana	Slovenia	46.05	14.516666666667	287000	Vienna	48.20833	16.373064	1840573		Austria	278	EU
Maribor	Slovenia	46.55	15.633333333333	112325	Graz	47.066666666667	15.433333333333	282479		Austria	59	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Maasmechelen	50.9967	5.7025			Belgium	829	EU
Celje	Slovenia	46.235833333333	15.2675		Graz	47.066666666667	15.433333333333	282479		Austria	93	EU
Metlika	Slovenia	45.651081	15.314769		Ronchi dei Legionari	45.833333333333	13.5			Italy	142	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Bellagio	45.9875	9.2619444444444			Italy	389	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Altea	38.6	-0.048888888888889	21739		Spain	1444	EU
Lendava	Slovenia	46.566666666667	16.45		Lenti	46.623611111111	16.545833333333	7828		Hungary	10	EU
Bovec	Slovenia	46.333333333333	13.55		Tarcento	46.216666666667	13.216666666667			Italy	29	EU
Škofja Loka	Slovenia	46.166666666667	14.3		Houffalize	50.13202	5.78936			Belgium	769	EU
