origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Valdemoro	Spain	40.190833333333	-3.6741666666667	72988	Gödöllő	47.6	19.366666666667	32720	Hungary	2012	EU
Linares	Spain	38.1	-3.633333	58829	Cabra	37.4718153	-4.4335616	20704	Spain	99	EU
Alcúdia	Spain	39.852222222222	3.1219444444444	19296	Ciutadella de Menorca	40.001388888889	3.8363888888889	28641	Spain	63	EU
Manlleu	Spain	42	2.2836111111111	20104	Alcaudete	37.5881403	-4.0812937	10698	Spain	732	EU
Villena	Spain	38.635	-0.86583333333333	34163	Peñafiel, Spain	41.5975136	-4.1227931	5327	Spain	430	EU
Callosa de Segura	Spain	38.1225	-0.87972222222222	18497	San Adrián	42.3325	-1.9333333333333	6225	Spain	477	EU
La Bisbal d'Empordà	Spain	41.959012	3.037783	10742	Cuevas Bajas	37.233611111111	-4.4852777777778	1430	Spain	831	EU
Onda	Spain	39.95	-0.25	24856	Alzira	39.15	-0.435	44488	Spain	90	EU
Caudete	Spain	38.7	-0.98305555555556	10115	Valverde de Júcar	39.719166666667	-2.2197222222222	1173	Spain	156	EU
Adeje	Spain	28.116666666667	-16.716666666667	47316	Tías, Las Palmas	28.953055555556	-13.653055555556	20037	Spain	313	EU
Llanes	Spain	43.4211205	-4.7530835	13841	Orosháza	46.567777777778	20.642777777778	28356	Hungary	2018	EU
Burgos	Spain	42.340833333333	-3.6997222222222	176608	Bruges	51.209444444444	3.22	118053	Belgium	1117	EU
Plasencia	Spain	40.0275	-6.0908333333333	40663	San Miguel de Abona	28.0975	-16.617222	17870	Spain	1640	EU
Lanjarón	Spain	36.918873	-3.4833089	3587	Alaquàs	39.458333333333	-0.46277777777778	29660	Spain	386	EU
San Miguel de Abona	Spain	28.0975	-16.617222	17870	Arafo	28.3404454	-16.4173287	5458	Spain	33	EU
Peñafiel, Spain	Spain	41.5975136	-4.1227931	5327	Escalona	40.170833333333	-4.4052777777778	3203	Spain	160	EU
Alaquàs	Spain	39.458333333333	-0.46277777777778	29660	Lanjarón	36.918873	-3.4833089	3587	Spain	386	EU
Sanlúcar de Barrameda	Spain	36.778888888889	-6.3538888888889	67620	Almonte	37.2611686	-6.5175751	23223	Spain	56	EU
Barcelona	Spain	41.3825	2.1769444444444	1608746	Antwerp	51.216666666667	4.4	510610	Belgium	1107	EU
Villena	Spain	38.635	-0.86583333333333	34163	Escalona	40.170833333333	-4.4052777777778	3203	Spain	349	EU
Santoña	Spain	43.441388888889	-3.4575	11085	Palos de la Frontera	37.2277697	-6.8932258	10785	Spain	750	EU
Torrent	Spain	39.4365348	-0.4679001	80762	Benalup-Casas Viejas	36.342777777778	-5.8091666666667	7003	Spain	581	EU
Palos de la Frontera	Spain	37.2277697	-6.8932258	10785	Santoña	43.441388888889	-3.4575	11085	Spain	750	EU
Sanlúcar de Barrameda	Spain	36.778888888889	-6.3538888888889	67620	Koekelberg	50.859166666667	4.3302777777778		Belgium	1781	EU
Ordizia	Spain	43.054722222222	-2.1783333333333	9875	Santa Amalia	39.0111991	-6.0099073	4108	Spain	553	EU
Baiona	Spain	42.1199257	-8.8500865	12119	Santa Fe	37.189444444444	-3.7180555555556	15079	Spain	702	EU
El Puerto de Santa María	Spain	36.601468	-6.2381494	88184	Santoña	43.441388888889	-3.4575	11085	Spain	796	EU
Torrevieja	Spain	37.977777777778	-0.68333333333333	84213	Callosa de Segura	38.1225	-0.87972222222222	18497	Spain	24	EU
Carcaixent	Spain	39.116666666667	-0.43333333333333	20520	Eeklo	51.1858	3.5639		Belgium	1378	EU
Rubí	Spain	41.493333333333	2.0325	75167	Celanova	42.150833333333	-7.9566666666667	5508	Spain	830	EU
Salamanca	Spain	40.965	-5.6638888888889	144949	Bruges	51.209444444444	3.22	118053	Belgium	1327	EU
Santa Coloma de Gramenet	Spain	41.453888888889	2.2111111111111	117153	Herstal	50.6644	5.63		Belgium	1057	EU
Barberà del Vallès	Spain	41.516388888889	2.1244444444444	32832	Linares	38.1	-3.633333	58829	Spain	621	EU
El Prat de Llobregat	Spain	41.3246333	2.0952568	63457	Garrovillas de Alconétar	39.7131229	-6.5494671	2145	Spain	752	EU
