origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Brașov	45.65	25.6	290743	Romania	1674	EU
Helsingør	Sweden	56.033333333333	12.616666666667		Pärnu	58.384444444444	24.498888888889	39784	Estonia	761	EU
Albertslund	Sweden	55.6597	12.3617		Borken	51.843888888889	6.8583333333333	42272	Germany	557	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Tryavna	42.866666666667	25.491944444444	9831	Bulgaria	1921	EU
Rødding	Sweden	55.3675	9.05833		Garbsen	52.418333333333	9.5980555555556	59912	Germany	330	EU
Haderslev	Sweden	55.25	9.5	21994	Lutherstadt Wittenberg	51.865833333333	12.649722222222	46475	Germany	430	EU
Ærøskøbing	Sweden	54.8892	10.4081	937	Glücksburg	54.833611111111	9.55	5820	Germany	55	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Riga	56.9475	24.106944444444	698529	Latvia	858	EU
Fredericia	Sweden	55.564444444444	9.7597222222222	39922	Herford	52.133333333333	8.6833333333333	66521	Germany	388	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Rendsburg	54.304444444444	9.6644444444444	27617	Germany	306	EU
Haderslev	Sweden	55.25	9.5	21994	Braine	49.341666666667	3.5319444444444	2250	France	772	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Lancaster	54.047	-2.801		United Kingdom	865	EU
Ribe	Sweden	55.327222	8.763056	8182	Ratzeburg	53.701666666667	10.756666666667	14230	Germany	222	EU
Vejle	Sweden	55.708333333333	9.5333333333333		Schleswig	54.515277777778	9.5697222222222	24035	Germany	133	EU
Rødding Municipality	Sweden	55.3678	9.05806		Garbsen	52.418333333333	9.5980555555556	59912	Germany	330	EU
Odense	Sweden	55.4	10.383333333333	173814	Brno	49.195277777778	16.608333333333	377973	Czech Republic	809	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Siret	47.95	26.06	7976	Romania	1507	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Sušice	49.231161465796	13.520207848015	11127	Czech Republic	859	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Granville	48.838055555556	-1.5869444444444	13104	France	1082	EU
Faaborg	Sweden	55.085	10.234444444444	7178	Kappeln	54.661388888889	9.9311111111111	8687	Germany	51	EU
Copenhagen	Sweden	55.676111111111	12.568888888889	591481	Marseille	43.296666666667	5.3763888888889	855393	France	1469	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Tulcea	45.19	28.8	73707	Romania	1852	EU
Svendborg	Sweden	55.059722222222	10.61		Stralsund	54.3	13.083333333333	58041	Germany	180	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Bad Kötzting	49.176944444444	12.855	6805	Germany	848	EU
Copenhagen	Sweden	55.676111111111	12.568888888889	591481	Prague	50.088611111111	14.421388888889	1280508	Czech Republic	634	EU
Odense	Sweden	55.4	10.383333333333	173814	Schwerin	53.633333333333	11.416666666667	91583	Germany	207	EU
Hjørring	Sweden	57.46	9.9866666666667		Werder	52.378055555556	12.935	24856	Germany	596	EU
Ikast	Sweden	56.1356	9.1547		Kralupy nad Vltavou	50.241148972524	14.311574668457	18079	Czech Republic	740	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Büdelsdorf	54.316666666667	9.6833333333333	10110	Germany	304	EU
Albertslund	Sweden	55.6597	12.3617		East Renfrewshire	55.7984	-4.2907		United Kingdom	1040	EU
Helsingør	Sweden	56.033333333333	12.616666666667		Rueil-Malmaison	48.877777777778	2.1883333333333	79762	France	1062	EU
Vejle	Sweden	55.708333333333	9.5333333333333		Jelgava	56.652222222222	23.724444444444	61623	Latvia	883	EU
Nexø	Sweden	55.0625	15.131944444444		Wolgast	54.05	13.766666666667	12355	Germany	143	EU
Aarhus	Sweden	56.15	10.216666666667	264716	Rostock	54.083333333333	12.133333333333	206011	Germany	260	EU
Holbæk	Sweden	55.7181	11.7103		Celle	52.625555555556	10.0825	69748	Germany	360	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Varna	43.207777777778	27.916944444444	348058	Bulgaria	1991	EU
Bornholm	Sweden	55.125	14.916666666667		Wolgast	54.05	13.766666666667	12355	Germany	141	EU
Kolding	Sweden	55.49	9.47	58757	Delmenhorst	53.050555555556	8.6316666666667	74052	Germany	277	EU
Tommerup Municipality	Sweden	55.31586194	10.20423889		Väike-Maarja Parish	59.126388888889	26.25	4296	Estonia	1051	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Juan-les-Pins	43.571111111111	7.1094444444444		France	1512	EU
Nakskov	Sweden	54.833333333333	11.15		Eckernförde	54.474166666667	9.8377777777778	21859	Germany	93	EU
Frederiksværk	Sweden	55.966666666667	12.033333333333		Hoyerswerda	51.433055555556	14.25	33843	Germany	525	EU
Marstal Municipality	Sweden	54.85	10.05		Elsfleth	53.233333333333	8.4666666666667	9094	Germany	207	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Türi	58.809444444444	25.429166666667	5257	Estonia	1035	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Antibes	43.58	7.1230555555556	75456	France	1510	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Sherborne	50.9491	-2.5183	9350	United Kingdom	947	EU
Sønderborg	Sweden	54.911388888889	9.7866666666667	27595	Finsterwalde	51.633055555556	13.716666666667	16548	Germany	448	EU
Albertslund	Sweden	55.6597	12.3617		Grabow	53.279785	11.553129	5663	Germany	270	EU
Ribe	Sweden	55.327222	8.763056	8182	Balleroy	49.180555555556	-0.83805555555556	996	France	944	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Agros	34.916666666667	33.016666666667	806	Cyprus	3014	EU
Albertslund	Sweden	55.6597	12.3617		Whitstable	51.360694444444	1.0256944444444	30195	United Kingdom	887	EU
Bjerringbro	Sweden	56.37567286427	9.6564099111366		Wahlstedt	53.95	10.216666666667		Germany	272	EU
Nykøbing Falster	Sweden	54.766666666667	11.883333333333		Eutin	54.137777777778	10.618055555556		Germany	108	EU
Frederikshavn	Sweden	57.433888888889	10.536111111111	23501	Bremerhaven	53.55	8.5833333333333	114025	Germany	449	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Zvolen	48.583055555556	19.133055555556	43100	Slovakia	1118	EU
Skanderborg	Sweden	56.0458	9.92806	18659	Eisenach	50.974722222222	10.324444444444	41884	Germany	563	EU
Viborg	Sweden	56.45	9.4		Lüneburg	53.2525	10.414444444444	71668	Germany	361	EU
Rødby	Sweden	54.7	11.4		Fehmarn	54.4375	11.196944444444	12467	Germany	32	EU
Aalborg	Sweden	57.05	9.9166666666667	112194	Wismar	53.8925	11.465	42219	Germany	364	EU
Silkeborg	Sweden	56.166666666667	9.55	44333	Kaiserslautern	49.444722222222	7.7688888888889		Germany	757	EU
Holstebro	Sweden	56.366666666667	8.6166666666667	35392	Škofja Loka	46.166666666667	14.3		Slovenia	1200	EU
Albertslund	Sweden	55.6597	12.3617		Říčany	49.991746433504	14.654334421235	15236	Czech Republic	649	EU
