origincityLabel	origincountry	originlat	originlong	originpopulation	sistercityLabel	destinationlat	destinationlong	destinationpopulation	destination_countryLabel	dist	eu
Glasgow	United Kingdom	55.87	-4.27	598830	Turin	45.066666666667	7.7	889600	Italy	1465	EU
Sandy, Bedfordshire	United Kingdom	52.131	-0.297		Skarszewy	54.067222222222	18.445833333333		Poland	1266	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Chojna	52.966666666667	14.416666666667		Poland	1179	EU
Swindon	United Kingdom	51.558333333333	-1.7811111111111		Toruń	53.016666666667	18.616666666667	206765	Poland	1392	EU
Bedford	United Kingdom	52.134444444444	-0.46305555555556		Arezzo	43.463055555556	11.878055555556	99541	Italy	1330	EU
Oxford	United Kingdom	51.751944444444	-1.2577777777778	152000	Catania	37.502669444444	15.087269444444	314318	Italy	2036	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Prienai	54.633333333333	23.941666666667		Lithuania	1814	EU
Chelmsford	United Kingdom	51.7361	0.4798		Benevento	41.133333333333	14.783333333333	60019	Italy	1604	EU
Swansea	United Kingdom	51.616666666667	-3.95		Ferrara	44.835297	11.619865	132445	Italy	1374	EU
Berwick-upon-Tweed	United Kingdom	55.766666666667	-2		Trzcianka	53.05	16.466666666667		Poland	1229	EU
Kingston upon Hull	United Kingdom	53.744333	-0.3325		Szczecin	53.424722222222	14.555277777778	407047	Poland	982	EU
Rotherham	United Kingdom	53.43	-1.3572222222222		Zabrze	50.3	18.783333333333	179452	Poland	1421	EU
Huddersfield	United Kingdom	53.645	-1.7797222222222		Plungė	55.916666666667	21.85		Lithuania	1528	EU
Shoreham-by-Sea	United Kingdom	50.8329	-0.2682		Żywiec	49.689166666667	19.205833333333		Poland	1386	EU
East Grinstead	United Kingdom	51.129	-0.007		Verbania	45.933333333333	8.5333333333333		Italy	853	EU
Llanfairpwllgwyngyll	United Kingdom	53.223333	-4.199444	3107	Enna	37.566666666667	14.266666666667		Italy	2247	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Judenburg	47.1725	14.660277777778	10195	Austria	1317	EU
Plymouth	United Kingdom	50.371388888889	-4.1422222222222		Gdynia	54.5	18.533333333333	247672	Poland	1596	EU
Bedford	United Kingdom	52.134444444444	-0.46305555555556		Włocławek	52.65	19.05		Poland	1321	EU
East Grinstead	United Kingdom	51.129	-0.007		Schwaz	47.35	11.7	13444	Austria	947	EU
Newcastle upon Tyne	United Kingdom	54.977777777778	-1.6133333333333	282442	Gdańsk	54.366666666667	18.633333333333	462249	Poland	1299	EU
Barnstaple	United Kingdom	51.0823	-4.0489		Susa	45.133333	7.05		Italy	1055	EU
Bicester	United Kingdom	51.9	-1.15		Novi Ligure	44.759166666667	8.7855555555556		Italy	1080	EU
Perth	United Kingdom	56.395277777778	-3.4316666666667		Bydgoszcz	53.116666666667	18	358614	Poland	1416	EU
Edinburgh	United Kingdom	55.95	-3.1988888888889	483000	Vilnius	54.683333333333	25.283333333333	532762	Lithuania	1795	EU
Chichester	United Kingdom	50.836519444444	-0.77918055555556		Ravenna	44.417777777778	12.199444444444	159162	Italy	1204	EU
Preston	United Kingdom	53.759444444444	-2.6980555555556		Kalisz	51.7575	18.08	103738	Poland	1411	EU
Birmingham	United Kingdom	52.483333333333	-1.9	1123000	Milan	45.464161	9.190336	1359905	Italy	1122	EU
Lincoln	United Kingdom	53.25	-0.55		Radomsko	51.066666666667	19.45		Poland	1381	EU
Oxford	United Kingdom	51.751944444444	-1.2577777777778	152000	Benevento	41.133333333333	14.783333333333	60019	Italy	1697	EU
Wakefield	United Kingdom	53.6801	-1.492		Konin	52.216666666667	18.266666666667		Poland	1329	EU
Portsmouth	United Kingdom	50.795277777778	-1.0888888888889		Reggio Calabria	38.114438888889	15.65	182703	Italy	1928	EU
Trowbridge	United Kingdom	51.317	-2.217		Elbląg	54.166666666667	19.4	122568	Poland	1483	EU
Southampton	United Kingdom	50.906944	-1.404722	239400	Trieste	45.636111111111	13.804166666667	204420	Italy	1266	EU
Southampton	United Kingdom	50.906944	-1.404722	239400	Kalisz	51.7575	18.08	103738	Poland	1353	EU
Doncaster	United Kingdom	53.516	-1.133	109805	Gliwice	50.283333333333	18.666666666667	186347	Poland	1400	EU
Newbury	United Kingdom	51.4009	-1.3235		Feltre	46.016666666667	11.9	20560	Italy	1138	EU
Peterborough	United Kingdom	52.583333333333	-0.25	136292	Foggia	41.466666666667	15.566666666667	151975	Italy	1715	EU
Wrexham	United Kingdom	53.0463	-2.9932		Racibórz	50.083333333333	18.233333333333		Poland	1498	EU
Birkenhead	United Kingdom	53.383333333333	-3.0166666666667		Latina	41.467597222222	12.9037	126181	Italy	1778	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Preveza	38.95	20.75	19042	Greece	2250	EU
Devizes	United Kingdom	51.353	-1.994		Iesi	43.522788888889	13.24395		Italy	1435	EU
Lancaster	United Kingdom	54.047	-2.801		Lublin	51.233333333333	22.566666666667	324637	Poland	1730	EU
Newark-on-Trent	United Kingdom	53.0765	-0.81		Sandomierz	50.683333333333	21.75	24457	Poland	1564	EU
Peterborough	United Kingdom	52.583333333333	-0.25	136292	Forlì	44.2225	12.040833333333	117859	Italy	1296	EU
Chichester	United Kingdom	50.836519444444	-0.77918055555556		Forlì	44.2225	12.040833333333	117859	Italy	1208	EU
Watford	United Kingdom	51.655278	-0.395833		Pesaro	43.91015	12.9133	94512	Italy	1312	EU
Edinburgh	United Kingdom	55.95	-3.1988888888889	483000	Florence	43.771388888889	11.254166666667	382808	Italy	1698	EU
Edinburgh	United Kingdom	55.95	-3.1988888888889	483000	Kraków	50.066666666667	19.95	761900	Poland	1671	EU
Coventry	United Kingdom	52.416666666667	-1.5166666666667		Graz	47.066666666667	15.433333333333	282479	Austria	1351	EU
Bedford	United Kingdom	52.134444444444	-0.46305555555556		Rovigo	45.066666666667	11.783333333333	51715	Italy	1192	EU
Cardiff	United Kingdom	51.48	-3.18	346100	Bari	41.125277777778	16.866666666667	325183	Italy	1912	EU
Abingdon	United Kingdom	51.666944444444	-1.2827777777778		Lucca	43.85	10.516666666667	88574	Italy	1235	EU
Sheffield	United Kingdom	53.3825	-1.4719444444444	518090	Macerata	43.30025	13.453302777778	42473	Italy	1567	EU
St Albans	United Kingdom	51.755	-0.336	57795	Fano	43.843530555556	13.019755555556	60848	Italy	1326	EU
Shepton Mallet	United Kingdom	51.193	-2.546		Bollnäs Municipality	61.35	16.4		Sweden	1615	EU
Kilmarnock	United Kingdom	55.611666666667	-4.4944444444444		Santa Coloma de Gramenet	41.453888888889	2.2111111111111	117153	Spain	1648	EU
Cardiff	United Kingdom	51.48	-3.18	346100	Vigevano	45.316666666667	8.8666666666667	63390	Italy	1120	EU
Leek	United Kingdom	53.108	-2.0234	20768	Este	45.233333	11.666667		Italy	1322	EU
Whitstable	United Kingdom	51.360694444444	1.0256944444444	30195	Mölndal Municipality	57.654166666667	12.019166666667	63739	Sweden	994	EU
Kilmarnock	United Kingdom	55.611666666667	-4.4944444444444		Herstal	50.6644	5.63		Belgium	870	EU
Glasgow	United Kingdom	55.87	-4.27	598830	Barga	44.075	10.481666666667	10034	Italy	1676	EU
Medway	United Kingdom	51.416666666667	0.56666666666667	276500	Cádiz	36.516666666667	-6.2833333333333	118919	Spain	1743	EU
Liverpool	United Kingdom	53.416666666667	-3	466415	Dublin	53.3425	-6.2658333333333	527612	Ireland	217	EU
Canterbury	United Kingdom	51.278333333333	1.0775	55240	Mölndal Municipality	57.654166666667	12.019166666667	63739	Sweden	999	EU
Llanberis	United Kingdom	53.120833333333	-4.1286111111111		Morbegno	46.133333333333	9.5666666666667		Italy	1252	EU
Lymington	United Kingdom	50.75	-1.55		Almansa	38.8682065	-1.0978627	24800	Spain	1322	EU
Chester	United Kingdom	53.2	-2.8833333333333	81340	Senigallia	43.713055555556	13.218333333333		Italy	1582	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Niederanven	49.651388888889	6.2555555555556	5737	Luxembourg	639	EU
Ludlow	United Kingdom	52.366666666667	-2.7166666666667		San Pietro in Cariano	45.516666666667	10.883333333333	12930	Italy	1248	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Karkkila	60.534722222222	24.209722222222	8969	Finland	1963	EU
Canterbury	United Kingdom	51.278333333333	1.0775	55240	Tournai	50.6	3.3833333333333	69751	Belgium	178	EU
Stafford	United Kingdom	52.8066	-2.1171		Tarragona	41.115555555556	1.2494444444444	131094	Spain	1324	EU
Coventry	United Kingdom	52.416666666667	-1.5166666666667		Kecskemét	46.906944444444	19.693333333333	111724	Hungary	1637	EU
Marple	United Kingdom	53.3974	-2.0617		Motril	36.745277777778	-3.5205555555556	60368	Spain	1855	EU
Nottingham	United Kingdom	52.955	-1.1491666666667		Ghent	51.05	3.7166666666667	257029	Belgium	395	EU
Market Drayton	United Kingdom	52.9044	-2.4848		Arlon	49.683611111111	5.8166666666667		Belgium	679	EU
Lancaster	United Kingdom	54.047	-2.801		Aalborg	57.05	9.9166666666667	112194	Denmark	865	EU
Plymouth	United Kingdom	50.371388888889	-4.1422222222222		Donostia/San Sebastián	43.32	-1.98	186064	Spain	801	EU
Swansea	United Kingdom	51.616666666667	-3.95		Cork	51.9	-8.4730555555556	119230	Ireland	313	EU
Maybole	United Kingdom	55.3545	-4.68149		Arco	45.916666666667	10.883333333333		Italy	1512	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Holstebro	56.366666666667	8.6166666666667	35392	Denmark	947	EU
Doncaster	United Kingdom	53.516	-1.133	109805	Salgótarján	48.085277777778	19.786666666667	35811	Hungary	1582	EU
Bethnal Green	United Kingdom	51.5275	-0.066		Esch-sur-Alzette	49.496944444444	5.9805555555556	33939	Luxembourg	483	EU
Eastwood	United Kingdom	53.0175	-1.306		Szolnok	47.174722222222	20.176388888889	72786	Hungary	1656	EU
Buckhaven	United Kingdom	56.1776	-3.0303		Trelleborg	55.375	13.15	28290	Sweden	1013	EU
Whitstable	United Kingdom	51.360694444444	1.0256944444444	30195	Albertslund	55.6597	12.3617		Denmark	887	EU
Colchester	United Kingdom	51.888611	0.903611	121859	Imola	44.353444388889	11.714373194444	69909	Italy	1158	EU
Sherborne	United Kingdom	50.9491	-2.5183	9350	Kőszeg	47.381666666667	16.551944444444	11702	Hungary	1437	EU
Abergavenny	United Kingdom	51.833055555556	-3.0172222222222		Sarno	40.816666666667	14.616666666667		Italy	1817	EU
Yeovil	United Kingdom	50.9452	-2.637		Samarate	45.616666666667	8.7833333333333		Italy	1030	EU
Ledbury	United Kingdom	52.0339	-2.4235		Strömstad Municipality	58.933333333333	11.166666666667		Sweden	1146	EU
